method,accuracy_mean,accuracy_std,delta_vs_reference,wins_vs_reference,losses_vs_reference,draws_vs_reference,elapsed_sec,k,reg_lambda,normalize_output,distance_ratio_before_mean,distance_ratio_after_mean,distance_ratio_delta_mean,distance_ratio_improved_subjects,fold_failures
A3,0.40239197530864196,0.13577725811159166,-0.00925925925925926,1,7,1,26.85282197687775,16,0.0001,True,0.6788808220686382,0.7542198574159273,0.07533903534728921,6,0
A1,0.4020061728395062,0.13831018518518517,-0.009645061728395058,1,7,1,26.23785376828164,8,0.0001,True,0.678744696586819,0.7874645187191319,0.10871982213231274,6,0
A2,0.38155864197530864,0.13291678962350956,-0.030092592592592598,2,7,0,26.697507610544562,16,0.0001,False,0.6785999201013121,0.9339791375012392,0.25537921739992736,9,0
A2,0.38155864197530864,0.13117057006025173,-0.030092592592592598,2,6,1,27.33005403727293,16,0.001,True,0.6783740532794034,0.817280022098601,0.1389059688191976,7,0
A2,0.3811728395061728,0.1306794460765967,-0.0304783950617284,2,6,1,27.558646363206208,16,0.001,False,0.6785585489153955,0.9346488290309585,0.25609028011556306,9,0
A2,0.380787037037037,0.12745940863178926,-0.030864197530864185,3,6,0,27.153984608128667,16,0.0001,True,0.678567158435177,0.8203004655278343,0.14173330709265725,7,0
A2,0.3800154320987654,0.11392528729938883,-0.0316358024691358,3,6,0,26.68278526235372,8,0.001,True,0.6786767712389281,0.9024144972278157,0.22373772598888766,7,0
A2,0.37885802469135804,0.13782627845684853,-0.0327932098765432,2,6,1,28.202099005691707,16,0.01,False,0.678629720187223,0.9407079454621162,0.2620782252748933,9,0
A2,0.3777006172839506,0.1353919334804607,-0.03395061728395063,2,6,1,27.87929544877261,16,0.01,True,0.6787540434977084,0.8253017767759704,0.14654773327826195,7,0
A2,0.3765432098765432,0.11639859339606137,-0.03510802469135802,3,6,0,28.10224164929241,8,0.001,False,0.6786940118574261,0.9521575831940596,0.2734635713366337,7,0
A2,0.3765432098765432,0.11212524267345701,-0.03510802469135802,3,6,0,28.157635343261063,8,0.0001,False,0.6782075546310125,0.9515874952005594,0.273379940569547,7,0
A2,0.3742283950617284,0.11481691493001649,-0.03742283950617284,3,6,0,27.110782070085406,8,0.0001,True,0.678460007750155,0.894470816009344,0.216010808259189,7,0
A2,0.369212962962963,0.11538283783550876,-0.042438271604938266,3,6,0,28.055553331039846,8,0.01,False,0.6785861921949441,0.9921357103744985,0.3135495181795544,7,0
A2,0.36728395061728397,0.1146330092468348,-0.044367283950617294,3,6,0,26.963337812572718,8,0.01,True,0.6785267953827404,0.9558353007643873,0.277308505381647,7,0
