source,target,mean_sq_dist,dyn_resid,u_score,behavior_prior,accuracy
1,2,0.17449007309775008,0.7471869022163232,-0.9216769753140733,0.2534722222222222,0.2361111111111111
1,3,0.1935904958265009,0.8250057138994897,-1.0185962097259906,0.625,0.5590277777777778
1,4,0.1925301037989511,0.565005595946113,-0.7575356997450641,0.3472222222222222,0.3020833333333333
1,5,0.18354991061934042,0.5713382513348364,-0.7548881619541769,0.3159722222222222,0.2743055555555556
1,6,0.17451288689978747,1.10955256962211,-1.2840654565218974,0.3055555555555556,0.2881944444444444
1,7,0.20080158101643988,0.5247312282469496,-0.7255328092633895,0.4305555555555556,0.4027777777777778
1,8,0.17240821112986318,1.1104935108238259,-1.2829017219536891,0.59375,0.2951388888888889
1,9,0.1535214517635142,0.7768513998157749,-0.9303728515792891,0.4236111111111111,0.4236111111111111
2,1,0.14318130302968154,2.0212742978246667,-2.1644556008543483,0.2951388888888889,0.2569444444444444
2,3,0.21654096956519767,1.7605365245106104,-1.977077494075808,0.1840277777777778,0.16319444444444445
2,4,0.17345140421798028,2.5866164209261333,-2.7600678251441138,0.375,0.2986111111111111
2,5,0.5298063914188155,2.209298740416984,-2.7391051318357995,0.2881944444444444,0.2361111111111111
2,6,0.16557237584173928,1.8024820974143299,-1.9680544732560692,0.2881944444444444,0.2708333333333333
2,7,0.20653332676822264,2.1245526216981547,-2.3310859484663773,0.1215277777777777,0.125
2,8,0.27063768138033645,1.583629737412683,-1.8542674187930195,0.3194444444444444,0.2604166666666667
2,9,0.17090395830282137,3.211243721193025,-3.3821476794958465,0.2708333333333333,0.2708333333333333
3,1,0.22605925359578838,0.40656967085984463,-0.632628924455633,0.5520833333333334,0.4375
3,2,0.20178663521576498,0.5968730601826252,-0.7986596953983902,0.2048611111111111,0.24305555555555555
3,4,0.2244962536652136,0.31764249052249177,-0.5421387441877054,0.3611111111111111,0.2708333333333333
3,5,0.2778907696696494,0.6126380633905872,-0.8905288330602366,0.3090277777777778,0.2916666666666667
3,6,0.201562420874471,0.9331816292631102,-1.1347440501375812,0.3159722222222222,0.2638888888888889
3,7,0.248400336197479,0.5870789686532858,-0.8354793048507648,0.4513888888888889,0.28125
3,8,0.273039896245065,1.2159161397786216,-1.4889560360236866,0.5034722222222222,0.3159722222222222
3,9,0.18804923451282982,0.8383950395263322,-1.026444274039162,0.5659722222222222,0.5034722222222222
4,1,0.3884348770843937,0.9808490598909216,-1.3692839369753154,0.4270833333333333,0.3055555555555556
4,2,0.44587544023805853,0.9727006156992962,-1.4185760559373548,0.2569444444444444,0.25
4,3,0.3860575733533332,1.2541007160603928,-1.6401582894137259,0.3402777777777778,0.3055555555555556
4,5,0.4431706654834067,1.0206568523198227,-1.4638275178032294,0.25,0.3125
4,6,0.44906773046545156,1.2964694999350144,-1.745537230400466,0.2777777777777778,0.2777777777777778
4,7,0.25890414793088895,1.4659485051215069,-1.7248526530523958,0.3298611111111111,0.34375
4,8,0.4464013592135334,1.19631944624116,-1.6427208054546933,0.4305555555555556,0.4965277777777778
4,9,0.22033530338652607,1.5735151187260952,-1.7938504221126212,0.4340277777777778,0.5590277777777778
5,1,0.15141456119384467,1.2928643498214805,-1.4442789110153251,0.2881944444444444,0.1840277777777778
5,2,0.21578830835243978,1.7668816629625248,-1.9826699713149645,0.2604166666666667,0.2986111111111111
5,3,0.1716089635740962,1.2059259998664151,-1.3775349634405114,0.3333333333333333,0.3541666666666667
5,4,0.14867720293942732,2.181446121315607,-2.3301233242550343,0.2916666666666667,0.24305555555555555
5,6,0.152026305783296,1.89952321003522,-2.051549515818516,0.2048611111111111,0.22569444444444445
5,7,0.23386247108499952,3.2939996420895516,-3.5278621131745513,0.3194444444444444,0.2048611111111111
5,8,0.19506922720172487,2.3831014378759043,-2.578170665077629,0.3541666666666667,0.23958333333333334
5,9,0.19810419450046132,3.166957860783885,-3.3650620552843464,0.3159722222222222,0.2881944444444444
6,1,0.4083535005019164,0.503104756800862,-0.9114582573027783,0.5,0.3993055555555556
6,2,0.13418544302667676,0.7027175999160483,-0.8369030429427251,0.2673611111111111,0.2743055555555556
6,3,0.4010806368875519,0.8819417326566299,-1.2830223695441818,0.5208333333333334,0.3680555555555556
6,4,0.4193568559977139,0.5149957998442912,-0.9343526558420051,0.4305555555555556,0.3506944444444444
6,5,0.15101934079676055,0.4914055332229616,-0.6424248740197221,0.3194444444444444,0.2604166666666667
6,7,0.5544216056833378,0.9361271906796278,-1.4905487963629656,0.3611111111111111,0.22916666666666666
6,8,0.16230767352113948,1.25226373840892,-1.4145714119300594,0.4409722222222222,0.3645833333333333
6,9,0.24786842272776655,1.0833899712956794,-1.331258394023446,0.3819444444444444,0.3506944444444444
7,1,0.13217317439043766,1.1584760571610808,-1.2906492315515186,0.4756944444444444,0.40625
7,2,0.11625009950216775,0.9460050926155602,-1.062255192117728,0.1666666666666666,0.25
7,3,0.1280036406090802,1.5283034709749457,-1.656307111584026,0.5729166666666666,0.53125
7,4,0.11134856416362623,1.2353449631958522,-1.3466935273594784,0.2986111111111111,0.22916666666666666
7,5,0.1416863104729524,1.7117982195020258,-1.8534845299749783,0.3055555555555556,0.2673611111111111
7,6,0.14490548323074762,1.203604962723961,-1.3485104459547086,0.2569444444444444,0.2743055555555556
7,8,0.15593514454686466,1.1582682063891028,-1.3142033509359674,0.4861111111111111,0.4270833333333333
7,9,0.1022837952060821,1.5193095110079717,-1.621593306214054,0.5486111111111112,0.4652777777777778
8,1,0.21942457793280268,1.0126021392764635,-1.232026717209266,0.5381944444444444,0.4479166666666667
8,2,0.41845796775938743,1.816193824968074,-2.2346517927274614,0.2152777777777778,0.21180555555555555
8,3,0.28826380542844354,1.6713641330522853,-1.959627938480729,0.4826388888888889,0.3854166666666667
8,4,0.17227127273323534,1.7507128490181074,-1.9229841217513428,0.3923611111111111,0.3472222222222222
8,5,0.5118757361196696,1.031524864591033,-1.5434006007107026,0.3194444444444444,0.2743055555555556
8,6,0.17909317219531803,3.423611242411602,-3.60270441460692,0.2708333333333333,0.3194444444444444
8,7,0.24076085683136464,0.8750292835839453,-1.1157901404153099,0.3402777777777778,0.2777777777777778
8,9,0.4293373713765554,2.3391788454009412,-2.768516216777497,0.5625,0.4375
9,1,0.6038405544528935,1.9554837012055173,-2.559324255658411,0.4965277777777778,0.3923611111111111
9,2,0.32081435539365716,1.9862140043349796,-2.307028359728637,0.2604166666666667,0.3333333333333333
9,3,0.8569450916034547,2.1046706783740046,-2.9616157699774592,0.4965277777777778,0.2951388888888889
9,4,0.7014658432549611,2.167428788900808,-2.868894632155769,0.3333333333333333,0.25
9,5,0.4577906318632735,4.39995529105033,-4.857745922913604,0.3194444444444444,0.25
9,6,0.7778444151550871,1.7062970366031636,-2.4841414517582505,0.3333333333333333,0.25
9,7,0.8775998226837799,1.6790383642680597,-2.5566381869518398,0.4756944444444444,0.2847222222222222
9,8,0.7855665670447152,1.022568449345983,-1.8081350163906982,0.5173611111111112,0.28125
