source,target,accuracy,kappa,f1_macro,cka,method
4,2,0.2847222222222222,0.04629629629629628,0.19473139574301057,0.01937886151544098,koopman-noalign
4,3,0.3541666666666667,0.13888888888888884,0.33613036913861427,0.006705365686661868,koopman-noalign
4,5,0.3020833333333333,0.06944444444444442,0.2216346191504051,0.012760994940300226,koopman-noalign
4,6,0.2881944444444444,0.05092592592592593,0.22436411051111116,0.011712863746359463,koopman-noalign
4,7,0.3125,0.08333333333333337,0.26894879142656375,0.007043234539698816,koopman-noalign
4,8,0.40625,0.20833333333333337,0.3256186389107685,0.008959060977594918,koopman-noalign
4,9,0.34375,0.125,0.30935189414893594,0.012784935576564047,koopman-noalign
5,1,0.20833333333333334,-0.05555555555555558,0.14445257024227984,0.01759943011865127,koopman-noalign
5,2,0.24305555555555555,-0.0092592592592593,0.16048917511647026,0.28023609684380135,koopman-noalign
5,3,0.3333333333333333,0.11111111111111116,0.26661230710534833,0.027435809845841045,koopman-noalign
5,4,0.3055555555555556,0.07407407407407407,0.22370857013587195,0.016069487449681525,koopman-noalign
5,6,0.2534722222222222,0.00462962962962965,0.2142017556911174,0.059020715760939604,koopman-noalign
5,7,0.1909722222222222,-0.07870370370370372,0.15391516765672986,0.010633273376139538,koopman-noalign
5,8,0.2569444444444444,0.0092592592592593,0.17637241359918737,0.010371174885629,koopman-noalign
5,9,0.2569444444444444,0.0092592592592593,0.16638810271354063,0.05131977308973243,koopman-noalign
6,1,0.3194444444444444,0.09259259259259256,0.20869019194573374,0.024076146117644002,koopman-noalign
6,2,0.2604166666666667,0.01388888888888884,0.16297059105278283,0.015187290646402616,koopman-noalign
6,3,0.4270833333333333,0.23611111111111116,0.29093644036561994,0.010101284701967111,koopman-noalign
6,4,0.2986111111111111,0.06481481481481477,0.20719258927237413,0.016257763774343386,koopman-noalign
6,5,0.25,0.0,0.1,0.020213208016582336,koopman-noalign
6,7,0.3229166666666667,0.09722222222222221,0.24209936606221438,0.0321217719288852,koopman-noalign
6,8,0.4340277777777778,0.24537037037037035,0.3655677140115731,0.007032572072375088,koopman-noalign
6,9,0.2951388888888889,0.06018518518518523,0.1870212375579102,0.02299758302984702,koopman-noalign
7,1,0.5069444444444444,0.34259259259259256,0.46800598860704024,0.11192476653593782,koopman-noalign
7,2,0.2013888888888889,-0.06481481481481488,0.13804423229386892,0.0220743367734244,koopman-noalign
7,3,0.5972222222222222,0.4629629629629629,0.5901909452125407,0.057489446342398276,koopman-noalign
7,4,0.23958333333333334,-0.01388888888888884,0.20019900687547743,0.010435169853480008,koopman-noalign
7,5,0.2708333333333333,0.02777777777777779,0.14515387862988807,0.017249686339143366,koopman-noalign
7,6,0.2361111111111111,-0.0185185185185186,0.15624465895550232,0.016164039703904863,koopman-noalign
7,8,0.4756944444444444,0.30092592592592593,0.444769046742731,0.0657407278250876,koopman-noalign
