method,accuracy_mean,accuracy_std,delta_vs_ra,wins,losses,draws,elapsed_sec
ra,0.4375,0.14078565925495343,0.0,0,0,9,35.07620700728148
fixed_w=0.5,0.39737654320987653,0.10285796994550306,-0.04012345679012347,3,6,0,45.887802426703274
ksda-geometric-gate,0.3896604938271605,0.11871468592665325,-0.047839506172839504,2,7,0,45.887802426703274
ksda-kcar-gate,0.38618827160493824,0.09521390774849019,-0.05131172839506173,3,6,0,45.887802426703274
ksda-static,0.34876543209876537,0.06496190733152407,-0.08873456790123457,2,7,0,45.887802426703274
