source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
1,2,0.01355006129020259,0.16319444444444445,0.0,0.0,0.0,0.0,0.0
1,3,0.051042345223269066,0.4548611111111111,0.7142857142857142,0.8571428571428571,0.1428571428571429,0.0,0.1428571428571429
1,4,0.0124926948504415,0.2673611111111111,0.14285714285714285,0.7142857142857142,0.5714285714285714,0.0,0.5714285714285714
1,5,0.03413324653547672,0.2743055555555556,0.5714285714285714,0.7142857142857142,0.1428571428571428,0.0,0.1428571428571428
1,6,0.05924284733714873,0.2673611111111111,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0
1,7,0.09782769083424471,0.5520833333333334,1.0,1.0,0.0,0.0,0.0
1,8,0.03439840433378779,0.4236111111111111,0.5714285714285714,0.7142857142857142,0.1428571428571428,0.0,0.1428571428571428
1,9,0.13025334465064314,0.3854166666666667,1.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.0
2,1,0.012595646339197098,0.2013888888888889,0.0,0.0,0.0,0.0,0.0
2,3,0.03460480351102678,0.1076388888888889,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0
2,4,0.04383235451744747,0.2916666666666667,1.0,1.0,0.0,0.0,0.0
2,5,0.28327465491885306,0.2465277777777778,1.0,0.0,1.0,1.0,0.0
2,6,0.04215752436522796,0.2534722222222222,0.7142857142857142,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.0
2,7,0.006097483377781041,0.14930555555555555,0.0,0.0,0.0,0.0,0.0
2,8,0.01104283233315787,0.2777777777777778,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
2,9,0.04942407056446559,0.2569444444444444,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
3,1,0.05941812497017124,0.5034722222222222,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
3,2,0.07753770347006253,0.2326388888888889,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0
3,4,0.009690779397296604,0.2048611111111111,0.0,0.0,0.0,0.0,0.0
3,5,0.028625935663842913,0.2743055555555556,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.0,0.42857142857142855
3,6,0.021285093907511776,0.2673611111111111,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
3,7,0.06899305382611998,0.3472222222222222,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
3,8,0.1041001192731913,0.3298611111111111,1.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.0
3,9,0.06490394664692688,0.4444444444444444,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
4,1,0.018645025852586965,0.3576388888888889,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855
4,2,0.02079423328940152,0.2743055555555556,0.42857142857142855,1.0,0.5714285714285714,0.0,0.5714285714285714
4,3,0.009958119848327115,0.3854166666666667,0.0,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142
4,5,0.016229474688214687,0.2847222222222222,0.0,1.0,1.0,0.0,1.0
4,6,0.013786366441341612,0.3090277777777778,0.0,1.0,1.0,0.0,1.0
4,7,0.010268551504427919,0.3368055555555556,0.14285714285714285,0.7142857142857142,0.5714285714285714,0.0,0.5714285714285714
4,8,0.011270714965472993,0.4270833333333333,0.2857142857142857,1.0,0.7142857142857143,0.0,0.7142857142857143
4,9,0.016353652475393922,0.4305555555555556,0.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
5,1,0.020372729107267562,0.23958333333333334,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
5,2,0.28163341349775484,0.2638888888888889,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
5,3,0.03239806958359487,0.2743055555555556,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
5,4,0.01895917673079444,0.24305555555555555,0.7142857142857142,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.0
5,6,0.0601983017648522,0.24305555555555555,1.0,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.0
5,7,0.013050458093237615,0.1527777777777778,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
5,8,0.012418346263561851,0.2326388888888889,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0
5,9,0.05510321507791992,0.11458333333333333,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0
6,1,0.031784801921931234,0.4340277777777778,0.42857142857142855,0.7142857142857142,0.28571428571428564,0.0,0.28571428571428564
6,2,0.018120400031895217,0.2673611111111111,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.0,0.5714285714285714
6,3,0.015486750261001492,0.3472222222222222,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
6,4,0.01840713228336023,0.2743055555555556,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
