,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.6851851851851851,-0.1157407407407407,0.27314814814814814,0.02314814814814814,0.03240740740740744,0.02314814814814814,0.4027777777777778,0.2314814814814815,0.18055555555555558
A02,-0.06481481481481488,0.37962962962962965,-0.18981481481481488,0.05555555555555558,-0.004629629629629539,0.00462962962962965,-0.1342592592592593,0.03703703703703709,0.0092592592592593
A03,0.3379629629629629,-0.02314814814814814,0.7268518518518519,-0.06018518518518512,0.03240740740740744,0.02314814814814814,0.12962962962962965,0.10648148148148151,0.2592592592592593
A04,0.1435185185185185,0.03240740740740744,0.18055555555555558,0.4027777777777778,0.04629629629629628,0.07870370370370372,0.1157407407407407,0.23611111111111116,0.2407407407407407
A05,-0.01388888888888884,0.01851851851851849,0.03240740740740744,-0.0092592592592593,0.13888888888888884,-0.0092592592592593,-0.12962962962962954,-0.02314814814814814,-0.18055555555555558
A06,0.24537037037037035,0.02314814814814814,0.12962962962962965,0.03240740740740744,0.0,0.3194444444444444,0.01388888888888884,0.11111111111111116,-0.02314814814814814
A07,0.3842592592592593,-0.05092592592592582,0.4120370370370371,0.01388888888888884,0.01388888888888884,-0.01388888888888884,0.7175925925925926,0.2314814814814815,0.2592592592592593
A08,0.05092592592592593,0.0092592592592593,0.05092592592592593,0.01851851851851849,0.0,0.04166666666666663,0.01851851851851849,0.5925925925925926,0.3935185185185185
A09,0.03240740740740744,0.0,0.1527777777777778,0.0,0.0,0.04629629629629628,0.0,0.01388888888888884,0.4907407407407407
