source,target,accuracy,kappa,f1_macro,cka,method
1,2,0.16319444444444445,-0.1157407407407407,0.12854636591478696,0.01355006129020259,koopman-noalign
1,3,0.4548611111111111,0.27314814814814814,0.42052279044304025,0.051042345223269066,koopman-noalign
1,4,0.2673611111111111,0.02314814814814814,0.17459922380362763,0.0124926948504415,koopman-noalign
1,5,0.2743055555555556,0.03240740740740744,0.14709672588552422,0.03413324653547672,koopman-noalign
1,6,0.2673611111111111,0.02314814814814814,0.19240911902165098,0.05924284733714873,koopman-noalign
1,7,0.5520833333333334,0.4027777777777778,0.5430519953105915,0.09782769083424471,koopman-noalign
1,8,0.4236111111111111,0.2314814814814815,0.36018935255970613,0.03439840433378779,koopman-noalign
1,9,0.3854166666666667,0.18055555555555558,0.3173374225909419,0.13025334465064314,koopman-noalign
2,1,0.2013888888888889,-0.06481481481481488,0.12647444298820446,0.012595646339197098,koopman-noalign
2,3,0.1076388888888889,-0.18981481481481488,0.05016181229773463,0.03460480351102678,koopman-noalign
2,4,0.2916666666666667,0.05555555555555558,0.19459124245038828,0.04383235451744747,koopman-noalign
2,5,0.2465277777777778,-0.004629629629629539,0.19177609212048427,0.28327465491885306,koopman-noalign
2,6,0.2534722222222222,0.00462962962962965,0.1253518935608335,0.04215752436522796,koopman-noalign
2,7,0.14930555555555555,-0.1342592592592593,0.0892297666491215,0.006097483377781041,koopman-noalign
2,8,0.2777777777777778,0.03703703703703709,0.18457825203252032,0.01104283233315787,koopman-noalign
2,9,0.2569444444444444,0.0092592592592593,0.12201149425287357,0.04942407056446559,koopman-noalign
3,1,0.5034722222222222,0.3379629629629629,0.46728573071792534,0.05941812497017124,koopman-noalign
3,2,0.2326388888888889,-0.02314814814814814,0.13511036530269782,0.07753770347006253,koopman-noalign
3,4,0.2048611111111111,-0.06018518518518512,0.13223653934652554,0.009690779397296604,koopman-noalign
3,5,0.2743055555555556,0.03240740740740744,0.19095829772313894,0.028625935663842913,koopman-noalign
3,6,0.2673611111111111,0.02314814814814814,0.18192946404868887,0.021285093907511776,koopman-noalign
3,7,0.3472222222222222,0.12962962962962965,0.2702454331061597,0.06899305382611998,koopman-noalign
3,8,0.3298611111111111,0.10648148148148151,0.2590732564077849,0.1041001192731913,koopman-noalign
3,9,0.4444444444444444,0.2592592592592593,0.4203492978351967,0.06490394664692688,koopman-noalign
