source,target,accuracy,kappa,f1_macro,cka
1,2,0.2465277777777778,-0.004629629629629539,0.22576771793639264,0.010032151849347208
1,3,0.6111111111111112,0.4814814814814815,0.6080716743722707,0.13735865287104349
1,4,0.3333333333333333,0.11111111111111116,0.3270026090440499,0.011190065572587997
1,5,0.34375,0.125,0.31200608071988595,0.027312616452917295
1,6,0.2986111111111111,0.06481481481481477,0.28116090306495106,0.01616074808346843
1,7,0.3506944444444444,0.1342592592592593,0.32719836895187704,0.19557288719754376
1,8,0.5347222222222222,0.37962962962962965,0.5413393459014859,0.14088355476678874
1,9,0.4548611111111111,0.27314814814814814,0.45544153533478204,0.13007910456611388
2,1,0.3090277777777778,0.07870370370370372,0.2760025187734778,0.026057281965215083
2,3,0.1736111111111111,-0.10185185185185186,0.15986386168829841,0.020032306697908835
2,4,0.3645833333333333,0.1527777777777778,0.3481298897287299,0.06806355747638794
2,5,0.2881944444444444,0.05092592592592593,0.24826843844923524,0.18113299761443796
2,6,0.2986111111111111,0.06481481481481477,0.28256727510273516,0.01569299843945506
2,7,0.125,-0.16666666666666674,0.12744825952897254,0.023141599150397325
2,8,0.3229166666666667,0.09722222222222221,0.26285315251050195,0.006709820119826879
2,9,0.2708333333333333,0.02777777777777779,0.24029578922626285,0.026079231263564984
3,1,0.5659722222222222,0.4212962962962963,0.5543898200859831,0.11960900807395011
3,2,0.21180555555555555,-0.05092592592592582,0.1953972914026736,0.0182226524180294
3,4,0.3333333333333333,0.11111111111111116,0.32222640373325306,0.04073577206990223
3,5,0.3194444444444444,0.09259259259259256,0.30184220468779516,0.031092309271857743
3,6,0.3020833333333333,0.06944444444444442,0.3048518762418329,0.018072211654948003
3,7,0.4270833333333333,0.23611111111111116,0.3900857631606656,0.12795246726492637
3,8,0.4895833333333333,0.3194444444444444,0.4887018545485365,0.09716631311023695
3,9,0.5694444444444444,0.42592592592592593,0.5652477831122262,0.09964538510789425
4,1,0.4201388888888889,0.22685185185185186,0.40055303900532446,0.012819261949882177
4,2,0.2777777777777778,0.03703703703703709,0.25134689513014075,0.051793160989206354
4,3,0.3611111111111111,0.14814814814814814,0.35620511775916547,0.029897592345844753
4,5,0.2534722222222222,0.00462962962962965,0.23003681140936041,0.04265765213596089
4,6,0.2847222222222222,0.04629629629629628,0.28216424190557693,0.024076450948476272
4,7,0.3298611111111111,0.10648148148148151,0.3153111363309886,0.02481097285599075
4,8,0.4479166666666667,0.26388888888888884,0.43793170289558325,0.016868037693737268
4,9,0.4583333333333333,0.2777777777777778,0.4549861730685505,0.031291397695440516
5,1,0.2777777777777778,0.03703703703703709,0.286561350777279,0.029677562083120394
5,2,0.23958333333333334,-0.01388888888888884,0.22147811456482364,0.17788912242243066
5,3,0.3472222222222222,0.12962962962962965,0.3208588107493453,0.024697648705852747
5,4,0.2708333333333333,0.02777777777777779,0.25845720725798754,0.06217151195338837
5,6,0.2013888888888889,-0.06481481481481488,0.2021634565112826,0.030903740383593975
5,7,0.3263888888888889,0.10185185185185186,0.29468888635082735,0.034645242524456644
5,8,0.3576388888888889,0.1435185185185185,0.3169859199788444,0.023421411250062193
5,9,0.3020833333333333,0.06944444444444442,0.3109635276993238,0.028218777667566253
6,1,0.4965277777777778,0.3287037037037037,0.473736534435386,0.029384625182927712
6,2,0.2743055555555556,0.03240740740740744,0.24278591778591777,0.01721063726109424
6,3,0.5208333333333334,0.36111111111111116,0.5247149217526959,0.03754466191886532
6,4,0.4270833333333333,0.23611111111111116,0.428759470531807,0.03532705426278468
6,5,0.3055555555555556,0.07407407407407407,0.3024947287324629,0.02718341598875753
6,7,0.3298611111111111,0.10648148148148151,0.318225983550519,0.028795283585420963
6,8,0.4340277777777778,0.24537037037037035,0.3876623376623377,0.022241620415988553
6,9,0.3888888888888889,0.18518518518518523,0.3656348199040471,0.02878308767081144
7,1,0.5069444444444444,0.34259259259259256,0.4867081042498017,0.23221436916034638
7,2,0.17708333333333334,-0.09722222222222232,0.15986961289092297,0.021488672209517227
7,3,0.5902777777777778,0.4537037037037037,0.5902561253867564,0.1660550387450718
7,4,0.2951388888888889,0.06018518518518523,0.2943616525758137,0.026386917507579048
7,5,0.2916666666666667,0.05555555555555558,0.26386484190792214,0.03751330879130279
7,6,0.2777777777777778,0.03703703703703709,0.2680206877208439,0.01577271363309958
7,8,0.4722222222222222,0.2962962962962963,0.4625476099704083,0.08231906246343641
7,9,0.5520833333333334,0.4027777777777778,0.5544678128422724,0.10977862251149521
8,1,0.53125,0.375,0.49808193104446036,0.13493377036300067
8,2,0.2326388888888889,-0.02314814814814814,0.20379243063450242,0.006402875696755645
8,3,0.4652777777777778,0.2870370370370371,0.4773933614209727,0.0664899170949636
8,4,0.40625,0.20833333333333337,0.39590802839970435,0.01671413986723265
8,5,0.3194444444444444,0.09259259259259256,0.30383414468855807,0.02108155156172923
8,6,0.2604166666666667,0.01388888888888884,0.26448395504223865,0.016424988861073755
8,7,0.3402777777777778,0.12037037037037035,0.31331670091624625,0.03188504385877409
8,9,0.5729166666666666,0.4305555555555556,0.5617667055167055,0.1325200202262798
9,1,0.5138888888888888,0.35185185185185186,0.5053008507955583,0.13690169610295863
9,2,0.2604166666666667,0.01388888888888884,0.22107787665130396,0.013003037033004641
9,3,0.4965277777777778,0.3287037037037037,0.48975259316310626,0.14921155592337645
9,4,0.3090277777777778,0.07870370370370372,0.3033179461323683,0.06120856401342083
9,5,0.3472222222222222,0.12962962962962965,0.34745268830052095,0.03989794057347175
9,6,0.3368055555555556,0.1157407407407407,0.3269636684050776,0.024776082363565887
9,7,0.4513888888888889,0.2685185185185185,0.43873795737033894,0.13465781142495747
9,8,0.5,0.33333333333333337,0.5010927463580472,0.17690632258026956
