source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
1,2,0.010032151849347208,0.2465277777777778,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855
1,3,0.13735865287104349,0.6111111111111112,0.7142857142857142,1.0,0.2857142857142858,0.0,0.2857142857142858
1,4,0.011190065572587997,0.3333333333333333,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855
1,5,0.027312616452917295,0.34375,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.0,0.5714285714285714
1,6,0.01616074808346843,0.2986111111111111,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
1,7,0.19557288719754376,0.3506944444444444,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
1,8,0.14088355476678874,0.5347222222222222,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
1,9,0.13007910456611388,0.4548611111111111,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0
2,1,0.026057281965215083,0.3090277777777778,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2,3,0.020032306697908835,0.1736111111111111,0.0,0.0,0.0,0.0,0.0
2,4,0.06806355747638794,0.3645833333333333,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
2,5,0.18113299761443796,0.2881944444444444,1.0,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.0
2,6,0.01569299843945506,0.2986111111111111,0.0,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142
2,7,0.023141599150397325,0.125,0.0,0.0,0.0,0.0,0.0
2,8,0.006709820119826879,0.3229166666666667,0.0,0.0,0.0,0.0,0.0
2,9,0.026079231263564984,0.2708333333333333,0.0,0.0,0.0,0.0,0.0
3,1,0.11960900807395011,0.5659722222222222,0.5714285714285714,1.0,0.4285714285714286,0.0,0.4285714285714286
3,2,0.0182226524180294,0.21180555555555555,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0
3,4,0.04073577206990223,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
3,5,0.031092309271857743,0.3194444444444444,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
3,6,0.018072211654948003,0.3020833333333333,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
3,7,0.12795246726492637,0.4270833333333333,0.7142857142857142,0.8571428571428571,0.1428571428571429,0.0,0.1428571428571429
3,8,0.09716631311023695,0.4895833333333333,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
3,9,0.09964538510789425,0.5694444444444444,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
4,1,0.012819261949882177,0.4201388888888889,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
4,2,0.051793160989206354,0.2777777777777778,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
4,3,0.029897592345844753,0.3611111111111111,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
4,5,0.04265765213596089,0.2534722222222222,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
4,6,0.024076450948476272,0.2847222222222222,0.7142857142857142,0.42857142857142855,0.28571428571428564,0.28571428571428564,0.0
