target_subject,accuracy,kappa,f1_macro,optimizer_success,optimizer_nit,loss_final
1,0.5868055555555556,0.44907407407407407,0.5631304087646762,False,5,0.11522003919496858
2,0.25,0.0,0.2137625183794481,False,4,0.178648982706116
3,0.5,0.33333333333333337,0.48514601833402615,False,5,0.2170820056851162
4,0.3888888888888889,0.18518518518518523,0.3705048606364396,False,7,0.10785898415334062
5,0.2673611111111111,0.02314814814814814,0.2447092419125114,False,5,0.14217815494979166
6,0.3819444444444444,0.17592592592592593,0.35448303433348616,False,17,0.3129679055877005
7,0.2916666666666667,0.05555555555555558,0.28585491263748114,True,2,0.13918456906794427
8,0.5277777777777778,0.37037037037037035,0.495113102936255,False,61,0.33161755660820064
9,0.5972222222222222,0.4629629629629629,0.57660345809414,False,8,0.3753784328592972
