source,target,accuracy,kappa,f1_macro,cka
1,2,0.2361111111111111,-0.0185185185185186,0.21689437729900157,0.019774035045877145
1,3,0.4930555555555556,0.32407407407407407,0.4694694552759069,0.21082431343913485
1,4,0.3506944444444444,0.1342592592592593,0.3229598517165601,0.021750108800832904
1,5,0.2881944444444444,0.05092592592592593,0.23721509971509971,0.03304840075172502
1,6,0.3055555555555556,0.07407407407407407,0.26871445292497925,0.03684364747130521
1,7,0.4409722222222222,0.25462962962962965,0.44019939541913733,0.24967178923912517
1,8,0.3263888888888889,0.10185185185185186,0.23402071767086546,0.14639052250485288
1,9,0.4375,0.25,0.3613015216446466,0.2241089760032272
2,1,0.2777777777777778,0.03703703703703709,0.24645457517311065,0.03412730633677001
2,3,0.1736111111111111,-0.10185185185185186,0.1266799650885184,0.09661776741111727
2,4,0.3611111111111111,0.14814814814814814,0.3151715983019747,0.03810299379816152
2,5,0.2708333333333333,0.02777777777777779,0.17013608814501133,0.034525786026570804
2,6,0.2881944444444444,0.05092592592592593,0.24524093598965835,0.014147534883819524
2,7,0.1423611111111111,-0.1435185185185186,0.13981347464266924,0.02566376804277759
2,8,0.25,0.0,0.2105813234384663,0.028958160249492722
2,9,0.2326388888888889,-0.02314814814814814,0.18820120302784538,0.05612522237567803
3,1,0.5416666666666666,0.38888888888888884,0.5265207449965222,0.22249614701655526
3,2,0.21180555555555555,-0.05092592592592582,0.18692034354420206,0.07371663823120225
3,4,0.34375,0.125,0.25755005584915724,0.036646354079424716
3,5,0.2881944444444444,0.05092592592592593,0.21052625668208977,0.028652401453957366
3,6,0.3125,0.08333333333333337,0.29609423650672156,0.08208522625986052
3,7,0.3888888888888889,0.18518518518518523,0.3577107516501456,0.2369670478768467
3,8,0.4305555555555556,0.2407407407407407,0.39724065584324275,0.1573884032562004
3,9,0.4652777777777778,0.2870370370370371,0.44288710536718745,0.28684756906431097
4,1,0.4583333333333333,0.2777777777777778,0.44335847594725153,0.015204847844130655
4,2,0.2326388888888889,-0.02314814814814814,0.20477426801489954,0.031187799007844293
4,3,0.3020833333333333,0.06944444444444442,0.22438941597482964,0.02656223528920882
4,5,0.2569444444444444,0.0092592592592593,0.23423540989641262,0.007624281069803622
