method,method_key,pearson_r,rbid,rbid_pos,rbid_neg,tail_rbid,pairwise_accuracy_mean
RA,ra,0.6128547162899771,0.2817460317460317,0.1408730158730158,0.1408730158730158,0.6240601503759399,
Conservative Koopman aligner-r48 (target-global refresh),conservative-koopman-aligner-r48-target-global-refresh,0.3579490873639866,0.2936507936507936,0.14682539682539683,0.14682539682539683,0.6190476190476191,0.32084297839506176
RBID-aware Conservative Koopman aligner-r48,rbid-aware-conservative-koopman-aligner-r48,0.3696467160602598,0.3095238095238095,0.1547619047619047,0.1547619047619047,0.6233766233766234,0.31486304012345673
RBID-aware Conservative Koopman aligner-r48 (mean+dyn proxy),rbid-aware-conservative-koopman-aligner-r48-mean-dyn-proxy,0.36955588014406165,0.3095238095238095,0.15476190476190477,0.15476190476190477,0.6326530612244897,0.314573688271605
Static Koopman aligner-r48,static-koopman-aligner-r48,0.4840564679661936,0.3134920634920635,0.1567460317460317,0.1567460317460317,0.6357142857142856,
