source,target,mean_sq_dist,dyn_resid,u_score,behavior_prior,accuracy
1,2,0.17448835712954533,0.7475033708621446,-0.9219917279916899,0.2534722222222222,0.2222222222222222
1,3,0.1935906340804948,0.8250103113821879,-1.0186009454626828,0.625,0.5590277777777778
1,4,0.19252944575272404,0.5649999875756724,-0.7575294333283964,0.3472222222222222,0.3020833333333333
1,5,0.18355009990330667,0.5713571263802836,-0.7549072262835903,0.3159722222222222,0.2743055555555556
1,6,0.17451280716098672,1.1095187654307768,-1.2840315725917635,0.3055555555555556,0.2881944444444444
1,7,0.2008025773084954,0.5247641358694025,-0.7255667131778979,0.4305555555555556,0.4027777777777778
1,8,0.17238346416399508,1.1098547787744628,-1.2822382429384578,0.59375,0.2951388888888889
1,9,0.15354251490660212,0.7768188115771086,-0.9303613264837107,0.4236111111111111,0.4305555555555556
2,1,0.1431780853621142,2.0214923751284464,-2.1646704604905604,0.2951388888888889,0.2604166666666667
2,3,0.21654109310591835,1.7605888322405807,-1.9771299253464991,0.1840277777777778,0.16319444444444445
2,4,0.17344978383430296,2.5864978719689153,-2.7599476558032183,0.375,0.2986111111111111
2,5,0.5298065970701433,2.2092805075923216,-2.739087104662465,0.2881944444444444,0.2361111111111111
2,6,0.16557030510593074,1.8023532184527804,-1.9679235235587111,0.2881944444444444,0.2743055555555556
2,7,0.20653407957516037,2.12456009507248,-2.33109417464764,0.1215277777777777,0.125
2,8,0.2706388073564086,1.5829238284090417,-1.8535626357654502,0.3194444444444444,0.2638888888888889
2,9,0.17090815642715113,3.211194938201201,-3.382103094628352,0.2708333333333333,0.2708333333333333
3,1,0.22605396366141808,0.40623512381744364,-0.6322890874788617,0.5520833333333334,0.4340277777777778
3,2,0.20177750030763555,0.5967524426509027,-0.7985299429585382,0.2048611111111111,0.24305555555555555
3,4,0.22449600044218018,0.3176517712579969,-0.542147771700177,0.3611111111111111,0.2708333333333333
3,5,0.2778916304092278,0.6126792640072026,-0.8905708944164304,0.3090277777777778,0.2916666666666667
3,6,0.20156262835136418,0.9330053270178692,-1.1345679553692334,0.3159722222222222,0.2638888888888889
3,7,0.24840126167265342,0.5870915681907666,-0.83549282986342,0.4513888888888889,0.28125
3,8,0.273030175103829,1.209875334167774,-1.4829055092716028,0.5034722222222222,0.3159722222222222
3,9,0.18805067711966936,0.8389783382506469,-1.0270290153703163,0.5659722222222222,0.5
4,1,0.38843363354395244,0.9807288000036384,-1.369162433547591,0.4270833333333333,0.3055555555555556
4,2,0.4458744917962362,0.972537079583655,-1.4184115713798913,0.2569444444444444,0.25
4,3,0.3860576107035211,1.2541054131073586,-1.6401630238108797,0.3402777777777778,0.3055555555555556
4,5,0.44317420857999557,1.0206981360645595,-1.463872344644555,0.25,0.3159722222222222
4,6,0.44906713224425804,1.2964783988860138,-1.7455455311302719,0.2777777777777778,0.2777777777777778
4,7,0.2589058668483299,1.4659585860468676,-1.7248644528951975,0.3298611111111111,0.34375
4,8,0.44640001533383133,1.1952152968091327,-1.6416153121429642,0.4305555555555556,0.4930555555555556
4,9,0.22035226205769534,1.5744985330518464,-1.7948507951095418,0.4340277777777778,0.5694444444444444
5,1,0.15141075723970104,1.2929405592876766,-1.4443513165273776,0.2881944444444444,0.1875
5,2,0.2157607316456036,1.7664602791409179,-1.9822210107865215,0.2604166666666667,0.2986111111111111
5,3,0.17161100279284155,1.2059375679873758,-1.3775485707802173,0.3333333333333333,0.3541666666666667
5,4,0.1486735909467835,2.1814560700374774,-2.330129660984261,0.2916666666666667,0.24305555555555555
5,6,0.15202584868056634,1.8996765290038815,-2.051702377684448,0.2048611111111111,0.22569444444444445
5,7,0.23386250132115008,3.2940096194616175,-3.5278721207827677,0.3194444444444444,0.2048611111111111
5,8,0.1950560565500761,2.382938153592691,-2.577994210142767,0.3541666666666667,0.23958333333333334
5,9,0.19810700033047327,3.1687047765020018,-3.366811776832475,0.3159722222222222,0.2951388888888889
6,1,0.4083444231196147,0.5028624884911619,-0.9112069116107766,0.5,0.3958333333333333
6,2,0.1340971097619034,0.7025104162279412,-0.8366075259898446,0.2673611111111111,0.2743055555555556
6,3,0.4010816138073189,0.8819282870196414,-1.2830099008269604,0.5208333333333334,0.3680555555555556
6,4,0.4193559849371741,0.5149880029352578,-0.9343439878724319,0.4305555555555556,0.3506944444444444
6,5,0.15101934373795237,0.49141744273502513,-0.6424367864729775,0.3194444444444444,0.2604166666666667
6,7,0.5544249304622825,0.9361202489715285,-1.490545179433811,0.3611111111111111,0.22916666666666666
6,8,0.16230724771485594,1.2511803724346213,-1.4134876201494773,0.4409722222222222,0.3645833333333333
6,9,0.24787512027161882,1.086107757804751,-1.3339828780763698,0.3819444444444444,0.3541666666666667
7,1,0.13217188249938594,1.1585710456387934,-1.2907429281381795,0.4756944444444444,0.4027777777777778
7,2,0.11625166342938464,0.946185607239343,-1.0624372706687275,0.1666666666666666,0.2465277777777778
7,3,0.12800428696163926,1.528303772300689,-1.6563080592623283,0.5729166666666666,0.53125
7,4,0.11134512801051566,1.2353705874443939,-1.3467157154549096,0.2986111111111111,0.22916666666666666
7,5,0.14168865474422077,1.7119236797428137,-1.8536123344870346,0.3055555555555556,0.2673611111111111
7,6,0.1449049863456638,1.2035993392541395,-1.3485043255998033,0.2569444444444444,0.2743055555555556
7,8,0.15593050523371094,1.156494567385051,-1.312425072618762,0.4861111111111111,0.4236111111111111
7,9,0.10228581271514507,1.5173805814539416,-1.6196663941690868,0.5486111111111112,0.4652777777777778
8,1,0.21942028868852242,1.0127797958736031,-1.2322000845621255,0.5381944444444444,0.4479166666666667
8,2,0.4184446567726898,1.8155802221199235,-2.2340248788926136,0.2152777777777778,0.2048611111111111
8,3,0.2882642760762588,1.6713921357597255,-1.9596564118359843,0.4826388888888889,0.3854166666666667
8,4,0.17226135581809413,1.7506825445294918,-1.9229439003475859,0.3923611111111111,0.3472222222222222
8,5,0.5118777797254662,1.031624683728787,-1.5435024634542533,0.3194444444444444,0.2743055555555556
8,6,0.1790930189597957,3.4235959869704846,-3.6026890059302805,0.2708333333333333,0.3194444444444444
8,7,0.2407650951045845,0.8750440457635233,-1.115809140868108,0.3402777777777778,0.2777777777777778
8,9,0.42933919571219104,2.339620473720095,-2.768959669432286,0.5625,0.4409722222222222
9,1,0.6038388487960277,1.954977550442895,-2.5588163992389226,0.4965277777777778,0.3923611111111111
9,2,0.3207691284466387,1.9863011879411336,-2.3070703163877724,0.2604166666666667,0.3333333333333333
9,3,0.8569452125947838,2.1046417472258954,-2.9615869598206794,0.4965277777777778,0.2951388888888889
9,4,0.7014540069981486,2.1674340391000424,-2.868888046098191,0.3333333333333333,0.25
9,5,0.45779087346891695,4.3998222283684845,-4.857613101837401,0.3194444444444444,0.25
9,6,0.7778429405019006,1.706249843127523,-2.4840927836294235,0.3333333333333333,0.25
9,7,0.877600564191116,1.679028937021126,-2.556629501212242,0.4756944444444444,0.2847222222222222
9,8,0.7855592365842249,1.0204000229114645,-1.8059592594956895,0.5173611111111112,0.28125
