,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.6388888888888888,-0.06018518518518512,0.25462962962962965,0.12962962962962965,0.04166666666666663,0.06018518518518523,0.21759259259259256,0.09259259259259256,0.2592592592592593
A02,0.05092592592592593,0.37962962962962965,-0.06944444444444442,0.14814814814814814,0.03240740740740744,0.06944444444444442,-0.17129629629629628,0.00462962962962965,-0.0185185185185186
A03,0.38888888888888884,-0.07407407407407418,0.6805555555555556,0.12037037037037035,0.05092592592592593,0.06481481481481477,0.2314814814814815,0.2314814814814815,0.3194444444444444
A04,0.28240740740740744,-0.02314814814814814,0.08333333333333337,0.3657407407407407,0.04166666666666663,0.03703703703703709,0.16666666666666663,0.17592592592592593,0.22685185185185186
A05,0.06018518518518523,0.00462962962962965,0.03703703703703709,0.02777777777777779,0.17592592592592593,-0.06481481481481488,0.07407407407407407,0.09259259259259256,-0.04629629629629628
A06,0.26388888888888884,-0.004629629629629539,0.3842592592592593,0.18981481481481477,0.04166666666666663,0.2407407407407407,0.12037037037037035,0.3194444444444444,0.30092592592592593
A07,0.3472222222222222,-0.10185185185185186,0.31481481481481477,0.11111111111111116,0.06018518518518523,0.02314814814814814,0.5648148148148149,0.09259259259259256,0.3055555555555556
A08,0.2777777777777778,0.0092592592592593,0.43518518518518523,0.12962962962962965,0.03240740740740744,0.07870370370370372,0.12037037037037035,0.6296296296296297,0.45833333333333337
A09,0.2962962962962963,0.00462962962962965,0.29166666666666663,0.0092592592592593,0.05555555555555558,0.11111111111111116,0.18518518518518523,0.3287037037037037,0.7407407407407407
