target_subject,accuracy,kappa,f1_macro
1,0.5763888888888888,0.43518518518518523,0.5620577138475806
2,0.2222222222222222,-0.03703703703703698,0.22780170459915555
3,0.6493055555555556,0.5324074074074074,0.6444934429291436
4,0.3402777777777778,0.12037037037037035,0.31408843153050336
5,0.3194444444444444,0.09259259259259256,0.3101911362843278
6,0.3263888888888889,0.10185185185185186,0.3165310097249332
7,0.40625,0.20833333333333337,0.3892121872033751
8,0.5173611111111112,0.3564814814814815,0.4599691283018903
9,0.4548611111111111,0.27314814814814814,0.4666131163977759
