,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.7289440566432868,0.16395871741474907,0.39426495544800527,0.34113499198464975,0.24706280971907196,0.23848043396106525,0.38916741730613547,0.2248423853317138,0.3641351386638199
A02,0.2594395781855736,0.5191085693536673,0.14829989239320254,0.33006681176043356,0.17468430285500028,0.2586945684685075,0.1210891117994661,0.21809247654690858,0.19515841151897
A03,0.5243707715839265,0.18679657774073352,0.7547076441115439,0.27518534527048455,0.21410418960550756,0.29259259259259257,0.4124516839122093,0.37263645243121535,0.4716686888525785
A04,0.44862645602146445,0.20278824873277645,0.24876885235711338,0.5184891724022158,0.2759567634349155,0.264618473153712,0.3586560172451678,0.31657464960456766,0.38146409667432335
A05,0.27814434963704976,0.1757068592203953,0.22877560683364254,0.22536558454831035,0.3628628124701423,0.13147385659916988,0.2833558123214235,0.2524131220461496,0.12306532270667292
A06,0.39614646464646464,0.18946838332379262,0.5481871186545082,0.33214559386973186,0.20371138578639397,0.4193808692492903,0.33539554371878233,0.44820933834274546,0.4184204448437122
A07,0.46717460152640056,0.1527092030210841,0.4616867012074028,0.3343102982436962,0.26190925837317564,0.24631102506368538,0.6579242618928356,0.22836361387943216,0.4368216997804472
A08,0.3776455026455027,0.17308583611420097,0.5759303529340818,0.27697660490429227,0.17932377307377306,0.26159248298467314,0.30863977518549335,0.72086944612972,0.5807233423053089
A09,0.3728753070387296,0.19175627240143367,0.463253420192655,0.20540993404445176,0.22726318773269666,0.3035169826502295,0.3166700882609156,0.500454527692254,0.8034118532717378
