source,target,accuracy,kappa,f1_macro,cka
8,2,0.2569444444444444,0.0092592592592593,0.17308583611420097,0.02127006816979312
8,3,0.5763888888888888,0.43518518518518523,0.5759303529340818,0.15241345836865514
8,4,0.3472222222222222,0.12962962962962965,0.27697660490429227,0.012617852886482222
8,5,0.2743055555555556,0.03240740740740744,0.17932377307377306,0.01412059652831794
8,6,0.3090277777777778,0.07870370370370372,0.26159248298467314,0.01215144085557739
8,7,0.3402777777777778,0.12037037037037035,0.30863977518549335,0.14779784102230706
8,9,0.59375,0.45833333333333337,0.5807233423053089,0.2761520629143421
9,1,0.4722222222222222,0.2962962962962963,0.3728753070387296,0.22067301814767132
9,2,0.2534722222222222,0.00462962962962965,0.19175627240143367,0.03499278522368366
9,3,0.46875,0.29166666666666663,0.463253420192655,0.28271645596504474
9,4,0.2569444444444444,0.0092592592592593,0.20540993404445176,0.02032851051835214
9,5,0.2916666666666667,0.05555555555555558,0.22726318773269666,0.026364684570440642
9,6,0.3333333333333333,0.11111111111111116,0.3035169826502295,0.053505572392946704
9,7,0.3888888888888889,0.18518518518518523,0.3166700882609156,0.18357519415461246
9,8,0.4965277777777778,0.3287037037037037,0.500454527692254,0.24199574221526832
