target_subject,window_id,oracle_action,k_rbid,k_rbid_pos,k_rbid_neg,oracle_gain
5,7,A0_identity,0.48717948717948717,0.24358974358974358,0.24358974358974358,0.0
5,8,P2_diag_scaling_a067,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.0625
5,9,P2_diag_scaling_a067,0.11538461538461542,0.0576923076923077,0.0576923076923077,0.0625
5,10,P1_mean_shift_a100,0.4358974358974358,0.21794871794871792,0.21794871794871792,0.125
5,11,P1_mean_shift_a100,0.24358974358974358,0.1217948717948718,0.1217948717948718,0.0625
5,12,P2_diag_scaling_a067,0.5384615384615385,0.2692307692307692,0.2692307692307692,0.0625
5,13,P1_mean_shift_a067,0.4615384615384616,0.23076923076923078,0.23076923076923078,0.125
5,14,A0_identity,0.20512820512820512,0.10256410256410256,0.10256410256410256,0.0625
5,15,P2_diag_scaling_a067,0.5384615384615385,0.2692307692307692,0.2692307692307692,0.0625
5,16,A0_identity,0.3717948717948717,0.18589743589743588,0.18589743589743588,0.0625
5,17,P2_diag_scaling_a100,0.2948717948717948,0.14743589743589744,0.14743589743589744,0.0
6,0,P2_diag_scaling_a067,0.34615384615384615,0.17307692307692307,0.17307692307692307,0.0
6,1,P2_diag_scaling_a067,0.3589743589743589,0.17948717948717946,0.17948717948717946,0.0
6,2,A0_identity,0.28205128205128205,0.141025641025641,0.141025641025641,0.0
6,3,P2_diag_scaling_a100,0.4230769230769231,0.21153846153846154,0.21153846153846154,0.0
6,4,P1_mean_shift_a033,0.3589743589743589,0.17948717948717946,0.17948717948717946,0.0625
6,5,A0_identity,0.423076923076923,0.21153846153846154,0.21153846153846154,0.0
6,6,P1_mean_shift_a067,0.47435897435897434,0.2371794871794872,0.23717948717948717,0.125
6,7,P1_mean_shift_a067,0.41025641025641024,0.20512820512820512,0.20512820512820512,0.0
6,8,P3_low_rank_affine_a033,0.25641025641025644,0.12820512820512822,0.12820512820512822,0.1875
6,9,A0_identity,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.0
6,10,P2_diag_scaling_a100,0.4743589743589744,0.23717948717948717,0.23717948717948717,0.0
