target_subject,method,accuracy,kappa,f1_macro,w_mean,w_std,inference_sec
1,adaptive/base,0.5277777777777778,0.37037037037037035,0.48311660168611736,0.4091933338022036,0.1114165349453811,0.3657194832339883
2,adaptive/base,0.24305555555555555,-0.0092592592592593,0.21536483006554713,0.5461978671471803,0.1858098287156774,0.3604560177773237
3,adaptive/base,0.5868055555555556,0.44907407407407407,0.589021636319456,0.39047882662319044,0.08586909300711343,0.36022733990103006
4,adaptive/base,0.3645833333333333,0.1527777777777778,0.29193135482040916,0.3019723929206212,0.06451251101185522,0.3589031770825386
5,adaptive/base,0.3263888888888889,0.10185185185185186,0.32197527461834496,0.9942541416816992,0.025239671514687888,0.3591401092708111
6,adaptive/base,0.2708333333333333,0.02777777777777779,0.2683658796871779,0.5487129982619291,0.11461264293672736,0.35897673293948174
7,adaptive/base,0.3888888888888889,0.18518518518518523,0.35732697675982916,0.25463881221986423,0.05263915930694824,0.35865689627826214
8,adaptive/base,0.5590277777777778,0.4120370370370371,0.5127134228696035,0.6489433010136386,0.11149115031583018,0.3572985306382179
9,adaptive/base,0.4201388888888889,0.22685185185185186,0.4264887347411848,0.958757092662873,0.10308925240190946,0.3768138997256756
