target_subject,method,accuracy,kappa,f1_macro,w_mean,w_std,inference_sec
1,adaptive/temp=0.75_ema=0.40,0.5416666666666666,0.38888888888888884,0.5087460133725294,0.6379912609808687,0.16562866033561702,0.3764567505568266
2,adaptive/temp=0.75_ema=0.40,0.22916666666666666,-0.02777777777777768,0.2080773442481386,0.7583810636022305,0.19363976590525772,0.3593475976958871
3,adaptive/temp=0.75_ema=0.40,0.6145833333333334,0.48611111111111116,0.6175975179713018,0.6124629621294826,0.1432767358900407,0.3579797251150012
4,adaptive/temp=0.75_ema=0.40,0.3611111111111111,0.14814814814814814,0.29561066958984195,0.4743982915390084,0.11604645645827742,0.35849714931100607
5,adaptive/temp=0.75_ema=0.40,0.3298611111111111,0.10648148148148151,0.3250811876926125,0.9993623843938296,0.0038244491127291435,0.3568552704527974
6,adaptive/temp=0.75_ema=0.40,0.3159722222222222,0.08796296296296291,0.3125064453561209,0.7961527478514651,0.13901830145472116,0.35879359766840935
7,adaptive/temp=0.75_ema=0.40,0.3715277777777778,0.1620370370370371,0.3444578956612365,0.3739447878934631,0.10719282535207836,0.3566032852977514
8,adaptive/temp=0.75_ema=0.40,0.5555555555555556,0.40740740740740744,0.49723662881337916,0.8762591241606786,0.11391648022515978,0.35776873771101236
9,adaptive/temp=0.75_ema=0.40,0.4201388888888889,0.22685185185185186,0.4262923548756605,0.988491907926971,0.06665059103371314,0.3583705173805356
