target_subject,accuracy,kappa,f1_macro,optimizer_success,optimizer_nit,loss_final
1,0.5868055555555556,0.44907407407407407,0.5631304087646762,False,6,0.7899966811135781
2,0.25,0.0,0.2137625183794481,True,4,0.8193492843957232
3,0.5,0.33333333333333337,0.48514601833402615,False,5,0.925196629306692
4,0.3888888888888889,0.18518518518518523,0.3705048606364396,False,7,0.7712211770432481
5,0.2673611111111111,0.02314814814814814,0.2447092419125114,False,5,0.7347609039003712
6,0.3819444444444444,0.17592592592592593,0.35448303433348616,False,17,0.9925384398279504
7,0.2916666666666667,0.05555555555555558,0.28585491263748114,True,2,0.8390157526842489
8,0.5486111111111112,0.39814814814814814,0.520979798043566,False,42,1.022338121934848
9,0.59375,0.45833333333333337,0.5738061906668848,False,8,1.0458304832093155
