source,target,accuracy,kappa,f1_macro,cka,method,method_key
7,5,0.2916666666666667,0.0555555555555555,0.2436207359656191,0.0221729484883024,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,6,0.3090277777777778,0.0787037037037037,0.3031595196183612,0.0218225342773238,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,8,0.4895833333333333,0.3194444444444444,0.4750464448572875,0.0688141755061545,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,9,0.5243055555555556,0.3657407407407407,0.5224455088790696,0.0632159227858468,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,1,0.3125,0.0833333333333333,0.2551185987134348,0.0792194009229792,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,2,0.2534722222222222,0.0046296296296296,0.2540154252130404,0.0149600785461374,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,3,0.2986111111111111,0.0648148148148147,0.2916125244233559,0.1066208359235182,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,4,0.3958333333333333,0.1944444444444444,0.3780601198279892,0.0174456207422228,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,5,0.2777777777777778,0.037037037037037,0.1865798560686739,0.0361770255758204,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,6,0.28125,0.0416666666666666,0.2597199011171203,0.0154797288463943,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,7,0.2708333333333333,0.0277777777777777,0.2011258485410094,0.0372395412536264,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
8,9,0.5694444444444444,0.4259259259259259,0.5471059872431911,0.0991406919889932,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,1,0.4270833333333333,0.2361111111111111,0.346674440150101,0.0930366556004119,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,2,0.3402777777777778,0.1203703703703703,0.3014435194374488,0.0369902549354717,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,3,0.4027777777777778,0.2037037037037037,0.384164825724104,0.0397329316570912,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,4,0.2673611111111111,0.0231481481481481,0.2431505763952082,0.0234959038818426,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,5,0.28125,0.0416666666666666,0.2614953213325284,0.0615544165546251,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,6,0.28125,0.0416666666666666,0.2412650997358242,0.0280947932025446,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,7,0.3506944444444444,0.1342592592592593,0.3451154609639244,0.03469517549857,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
9,8,0.3541666666666667,0.1388888888888888,0.3341549743819575,0.0484822444526628,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,2,0.2465277777777778,-0.0046296296296295,0.2257677179363926,0.0100321518493472,EA,ea
1,3,0.6111111111111112,0.4814814814814815,0.6080716743722707,0.1373586528710434,EA,ea
1,4,0.3333333333333333,0.1111111111111111,0.3270026090440499,0.0111900655725879,EA,ea
1,5,0.34375,0.125,0.3120060807198859,0.0273126164529172,EA,ea
1,6,0.2986111111111111,0.0648148148148147,0.281160903064951,0.0161607480834684,EA,ea
1,7,0.3506944444444444,0.1342592592592593,0.327198368951877,0.1955728871975437,EA,ea
1,8,0.5347222222222222,0.3796296296296296,0.5413393459014859,0.1408835547667887,EA,ea
1,9,0.4548611111111111,0.2731481481481481,0.455441535334782,0.1300791045661138,EA,ea
2,1,0.3090277777777778,0.0787037037037037,0.2760025187734778,0.026057281965215,EA,ea
2,3,0.1736111111111111,-0.1018518518518518,0.1598638616882984,0.0200323066979088,EA,ea
2,4,0.3645833333333333,0.1527777777777778,0.3481298897287299,0.0680635574763879,EA,ea
2,5,0.2881944444444444,0.0509259259259259,0.2482684384492352,0.1811329976144379,EA,ea
2,6,0.2986111111111111,0.0648148148148147,0.2825672751027351,0.015692998439455,EA,ea
2,7,0.125,-0.1666666666666667,0.1274482595289725,0.0231415991503973,EA,ea
2,8,0.3229166666666667,0.0972222222222222,0.2628531525105019,0.0067098201198268,EA,ea
2,9,0.2708333333333333,0.0277777777777777,0.2402957892262628,0.0260792312635649,EA,ea
3,1,0.5659722222222222,0.4212962962962963,0.5543898200859831,0.1196090080739501,EA,ea
3,2,0.2118055555555555,-0.0509259259259258,0.1953972914026736,0.0182226524180294,EA,ea
3,4,0.3333333333333333,0.1111111111111111,0.322226403733253,0.0407357720699022,EA,ea
3,5,0.3194444444444444,0.0925925925925925,0.3018422046877951,0.0310923092718577,EA,ea
3,6,0.3020833333333333,0.0694444444444444,0.3048518762418329,0.018072211654948,EA,ea
3,7,0.4270833333333333,0.2361111111111111,0.3900857631606656,0.1279524672649263,EA,ea
3,8,0.4895833333333333,0.3194444444444444,0.4887018545485365,0.0971663131102369,EA,ea
3,9,0.5694444444444444,0.4259259259259259,0.5652477831122262,0.0996453851078942,EA,ea
4,1,0.4201388888888889,0.2268518518518518,0.4005530390053244,0.0128192619498821,EA,ea
4,2,0.2777777777777778,0.037037037037037,0.2513468951301407,0.0517931609892063,EA,ea
4,3,0.3611111111111111,0.1481481481481481,0.3562051177591654,0.0298975923458447,EA,ea
4,5,0.2534722222222222,0.0046296296296296,0.2300368114093604,0.0426576521359608,EA,ea
4,6,0.2847222222222222,0.0462962962962962,0.2821642419055769,0.0240764509484762,EA,ea
4,7,0.3298611111111111,0.1064814814814815,0.3153111363309886,0.0248109728559907,EA,ea
4,8,0.4479166666666667,0.2638888888888888,0.4379317028955832,0.0168680376937372,EA,ea
4,9,0.4583333333333333,0.2777777777777778,0.4549861730685505,0.0312913976954405,EA,ea
5,1,0.2777777777777778,0.037037037037037,0.286561350777279,0.0296775620831203,EA,ea
5,2,0.2395833333333333,-0.0138888888888888,0.2214781145648236,0.1778891224224306,EA,ea
5,3,0.3472222222222222,0.1296296296296296,0.3208588107493453,0.0246976487058527,EA,ea
5,4,0.2708333333333333,0.0277777777777777,0.2584572072579875,0.0621715119533883,EA,ea
5,6,0.2013888888888889,-0.0648148148148148,0.2021634565112826,0.0309037403835939,EA,ea
5,7,0.3263888888888889,0.1018518518518518,0.2946888863508273,0.0346452425244566,EA,ea
5,8,0.3576388888888889,0.1435185185185185,0.3169859199788444,0.0234214112500621,EA,ea
5,9,0.3020833333333333,0.0694444444444444,0.3109635276993238,0.0282187776675662,EA,ea
6,1,0.4965277777777778,0.3287037037037037,0.473736534435386,0.0293846251829277,EA,ea
6,2,0.2743055555555556,0.0324074074074074,0.2427859177859177,0.0172106372610942,EA,ea
6,3,0.5208333333333334,0.3611111111111111,0.5247149217526959,0.0375446619188653,EA,ea
6,4,0.4270833333333333,0.2361111111111111,0.428759470531807,0.0353270542627846,EA,ea
6,5,0.3055555555555556,0.074074074074074,0.3024947287324629,0.0271834159887575,EA,ea
6,7,0.3298611111111111,0.1064814814814815,0.318225983550519,0.0287952835854209,EA,ea
6,8,0.4340277777777778,0.2453703703703703,0.3876623376623377,0.0222416204159885,EA,ea
6,9,0.3888888888888889,0.1851851851851852,0.3656348199040471,0.0287830876708114,EA,ea
7,1,0.5069444444444444,0.3425925925925925,0.4867081042498017,0.2322143691603463,EA,ea
7,2,0.1770833333333333,-0.0972222222222223,0.1598696128909229,0.0214886722095172,EA,ea
7,3,0.5902777777777778,0.4537037037037037,0.5902561253867564,0.1660550387450718,EA,ea
7,4,0.2951388888888889,0.0601851851851852,0.2943616525758137,0.026386917507579,EA,ea
7,5,0.2916666666666667,0.0555555555555555,0.2638648419079221,0.0375133087913027,EA,ea
7,6,0.2777777777777778,0.037037037037037,0.2680206877208439,0.0157727136330995,EA,ea
7,8,0.4722222222222222,0.2962962962962963,0.4625476099704083,0.0823190624634364,EA,ea
7,9,0.5520833333333334,0.4027777777777778,0.5544678128422724,0.1097786225114952,EA,ea
8,1,0.53125,0.375,0.4980819310444603,0.1349337703630006,EA,ea
8,2,0.2326388888888889,-0.0231481481481481,0.2037924306345024,0.0064028756967556,EA,ea
8,3,0.4652777777777778,0.2870370370370371,0.4773933614209727,0.0664899170949636,EA,ea
8,4,0.40625,0.2083333333333333,0.3959080283997043,0.0167141398672326,EA,ea
8,5,0.3194444444444444,0.0925925925925925,0.303834144688558,0.0210815515617292,EA,ea
8,6,0.2604166666666667,0.0138888888888888,0.2644839550422386,0.0164249888610737,EA,ea
8,7,0.3402777777777778,0.1203703703703703,0.3133167009162462,0.031885043858774,EA,ea
8,9,0.5729166666666666,0.4305555555555556,0.5617667055167055,0.1325200202262798,EA,ea
9,1,0.5138888888888888,0.3518518518518518,0.5053008507955583,0.1369016961029586,EA,ea
9,2,0.2604166666666667,0.0138888888888888,0.2210778766513039,0.0130030370330046,EA,ea
9,3,0.4965277777777778,0.3287037037037037,0.4897525931631062,0.1492115559233764,EA,ea
9,4,0.3090277777777778,0.0787037037037037,0.3033179461323683,0.0612085640134208,EA,ea
9,5,0.3472222222222222,0.1296296296296296,0.3474526883005209,0.0398979405734717,EA,ea
9,6,0.3368055555555556,0.1157407407407407,0.3269636684050776,0.0247760823635658,EA,ea
9,7,0.4513888888888889,0.2685185185185185,0.4387379573703389,0.1346578114249574,EA,ea
9,8,0.5,0.3333333333333333,0.5010927463580472,0.1769063225802695,EA,ea
1,2,0.1631944444444444,-0.1157407407407407,0.1285463659147869,0.0135500612902025,Koopman-noalign-r48,koopman-noalign-r48
1,3,0.4548611111111111,0.2731481481481481,0.4205227904430402,0.051042345223269,Koopman-noalign-r48,koopman-noalign-r48
1,4,0.2673611111111111,0.0231481481481481,0.1745992238036276,0.0124926948504415,Koopman-noalign-r48,koopman-noalign-r48
1,5,0.2743055555555556,0.0324074074074074,0.1470967258855242,0.0341332465354767,Koopman-noalign-r48,koopman-noalign-r48
1,6,0.2673611111111111,0.0231481481481481,0.1924091190216509,0.0592428473371487,Koopman-noalign-r48,koopman-noalign-r48
1,7,0.5520833333333334,0.4027777777777778,0.5430519953105915,0.0978276908342447,Koopman-noalign-r48,koopman-noalign-r48
1,8,0.4236111111111111,0.2314814814814815,0.3601893525597061,0.0343984043337877,Koopman-noalign-r48,koopman-noalign-r48
1,9,0.3854166666666667,0.1805555555555555,0.3173374225909419,0.1302533446506431,Koopman-noalign-r48,koopman-noalign-r48
2,1,0.2013888888888889,-0.0648148148148148,0.1264744429882044,0.012595646339197,Koopman-noalign-r48,koopman-noalign-r48
2,3,0.1076388888888889,-0.1898148148148148,0.0501618122977346,0.0346048035110267,Koopman-noalign-r48,koopman-noalign-r48
2,4,0.2916666666666667,0.0555555555555555,0.1945912424503882,0.0438323545174474,Koopman-noalign-r48,koopman-noalign-r48
2,5,0.2465277777777778,-0.0046296296296295,0.1917760921204842,0.283274654918853,Koopman-noalign-r48,koopman-noalign-r48
2,6,0.2534722222222222,0.0046296296296296,0.1253518935608335,0.0421575243652279,Koopman-noalign-r48,koopman-noalign-r48
2,7,0.1493055555555555,-0.1342592592592593,0.0892297666491215,0.006097483377781,Koopman-noalign-r48,koopman-noalign-r48
2,8,0.2777777777777778,0.037037037037037,0.1845782520325203,0.0110428323331578,Koopman-noalign-r48,koopman-noalign-r48
2,9,0.2569444444444444,0.0092592592592593,0.1220114942528735,0.0494240705644655,Koopman-noalign-r48,koopman-noalign-r48
3,1,0.5034722222222222,0.3379629629629629,0.4672857307179253,0.0594181249701712,Koopman-noalign-r48,koopman-noalign-r48
3,2,0.2326388888888889,-0.0231481481481481,0.1351103653026978,0.0775377034700625,Koopman-noalign-r48,koopman-noalign-r48
3,4,0.2048611111111111,-0.0601851851851851,0.1322365393465255,0.0096907793972966,Koopman-noalign-r48,koopman-noalign-r48
3,5,0.2743055555555556,0.0324074074074074,0.1909582977231389,0.0286259356638429,Koopman-noalign-r48,koopman-noalign-r48
3,6,0.2673611111111111,0.0231481481481481,0.1819294640486888,0.0212850939075117,Koopman-noalign-r48,koopman-noalign-r48
3,7,0.3472222222222222,0.1296296296296296,0.2702454331061597,0.0689930538261199,Koopman-noalign-r48,koopman-noalign-r48
3,8,0.3298611111111111,0.1064814814814815,0.2590732564077849,0.1041001192731913,Koopman-noalign-r48,koopman-noalign-r48
3,9,0.4444444444444444,0.2592592592592593,0.4203492978351967,0.0649039466469268,Koopman-noalign-r48,koopman-noalign-r48
4,1,0.3576388888888889,0.1435185185185185,0.2851982994036021,0.0186450258525869,Koopman-noalign-r48,koopman-noalign-r48
4,2,0.2743055555555556,0.0324074074074074,0.1621578045399816,0.0207942332894015,Koopman-noalign-r48,koopman-noalign-r48
4,3,0.3854166666666667,0.1805555555555555,0.3267957694604609,0.0099581198483271,Koopman-noalign-r48,koopman-noalign-r48
4,5,0.2847222222222222,0.0462962962962962,0.1975867269984917,0.0162294746882146,Koopman-noalign-r48,koopman-noalign-r48
4,6,0.3090277777777778,0.0787037037037037,0.3026789514775438,0.0137863664413416,Koopman-noalign-r48,koopman-noalign-r48
4,7,0.3368055555555556,0.1157407407407407,0.2539154704944178,0.0102685515044279,Koopman-noalign-r48,koopman-noalign-r48
4,8,0.4270833333333333,0.2361111111111111,0.3374781816641247,0.0112707149654729,Koopman-noalign-r48,koopman-noalign-r48
4,9,0.4305555555555556,0.2407407407407407,0.4023944344740805,0.0163536524753939,Koopman-noalign-r48,koopman-noalign-r48
5,1,0.2395833333333333,-0.0138888888888888,0.1182926829268292,0.0203727291072675,Koopman-noalign-r48,koopman-noalign-r48
5,2,0.2638888888888889,0.0185185185185184,0.2246362299433272,0.2816334134977548,Koopman-noalign-r48,koopman-noalign-r48
5,3,0.2743055555555556,0.0324074074074074,0.2038872733422429,0.0323980695835948,Koopman-noalign-r48,koopman-noalign-r48
5,4,0.2430555555555555,-0.0092592592592593,0.1670920034862185,0.0189591767307944,Koopman-noalign-r48,koopman-noalign-r48
5,6,0.2430555555555555,-0.0092592592592593,0.2065358026802335,0.0601983017648522,Koopman-noalign-r48,koopman-noalign-r48
5,7,0.1527777777777778,-0.1296296296296295,0.12062520991929,0.0130504580932376,Koopman-noalign-r48,koopman-noalign-r48
5,8,0.2326388888888889,-0.0231481481481481,0.1457541860137892,0.0124183462635618,Koopman-noalign-r48,koopman-noalign-r48
5,9,0.1145833333333333,-0.1805555555555555,0.0931483619112251,0.0551032150779199,Koopman-noalign-r48,koopman-noalign-r48
6,1,0.4340277777777778,0.2453703703703703,0.3702826227983206,0.0317848019219312,Koopman-noalign-r48,koopman-noalign-r48
6,2,0.2673611111111111,0.0231481481481481,0.1924318075519188,0.0181204000318952,Koopman-noalign-r48,koopman-noalign-r48
6,3,0.3472222222222222,0.1296296296296296,0.3186014641710844,0.0154867502610014,Koopman-noalign-r48,koopman-noalign-r48
6,4,0.2743055555555556,0.0324074074074074,0.1571088794926004,0.0184071322833602,Koopman-noalign-r48,koopman-noalign-r48
6,5,0.25,0.0,0.1002785515320334,0.0266378578115146,Koopman-noalign-r48,koopman-noalign-r48
6,7,0.2604166666666667,0.0138888888888888,0.2009772150494488,0.0412949732611562,Koopman-noalign-r48,koopman-noalign-r48
6,8,0.3333333333333333,0.1111111111111111,0.2729876659855274,0.0107854211507646,Koopman-noalign-r48,koopman-noalign-r48
6,9,0.2326388888888889,-0.0231481481481481,0.2306923539198744,0.0282946815621056,Koopman-noalign-r48,koopman-noalign-r48
7,1,0.5381944444444444,0.3842592592592593,0.5082264957264957,0.1245922774747572,Koopman-noalign-r48,koopman-noalign-r48
7,2,0.2118055555555555,-0.0509259259259258,0.1745033829950338,0.0243647399473581,Koopman-noalign-r48,koopman-noalign-r48
7,3,0.5590277777777778,0.4120370370370371,0.5421913091791388,0.0609308771686557,Koopman-noalign-r48,koopman-noalign-r48
7,4,0.2604166666666667,0.0138888888888888,0.2126367665603442,0.0132471673195552,Koopman-noalign-r48,koopman-noalign-r48
7,5,0.2604166666666667,0.0138888888888888,0.1268038484752365,0.0221424743906072,Koopman-noalign-r48,koopman-noalign-r48
7,6,0.2395833333333333,-0.0138888888888888,0.1273654763863748,0.0219313426359878,Koopman-noalign-r48,koopman-noalign-r48
7,8,0.4236111111111111,0.2314814814814815,0.385072821475245,0.0687541811464655,Koopman-noalign-r48,koopman-noalign-r48
7,9,0.4444444444444444,0.2592592592592593,0.4014492163359718,0.0636416954293232,Koopman-noalign-r48,koopman-noalign-r48
8,1,0.2881944444444444,0.0509259259259259,0.1943348440415889,0.0792664637774595,Koopman-noalign-r48,koopman-noalign-r48
8,2,0.2569444444444444,0.0092592592592593,0.1792487949908784,0.0149707852961014,Koopman-noalign-r48,koopman-noalign-r48
8,3,0.2881944444444444,0.0509259259259259,0.1890275064220847,0.1067427118352839,Koopman-noalign-r48,koopman-noalign-r48
8,4,0.2638888888888889,0.0185185185185184,0.1490169388989715,0.0174644730697412,Koopman-noalign-r48,koopman-noalign-r48
8,5,0.25,0.0,0.1,0.0362011111569189,Koopman-noalign-r48,koopman-noalign-r48
8,6,0.28125,0.0416666666666666,0.1885392385392385,0.0154892537345463,Koopman-noalign-r48,koopman-noalign-r48
8,7,0.2638888888888889,0.0185185185185184,0.1387391774891775,0.0373264455097166,Koopman-noalign-r48,koopman-noalign-r48
8,9,0.5451388888888888,0.3935185185185185,0.4689792701447397,0.0995637548351473,Koopman-noalign-r48,koopman-noalign-r48
9,1,0.2743055555555556,0.0324074074074074,0.1447439171931711,0.0936462464954691,Koopman-noalign-r48,koopman-noalign-r48
9,2,0.25,0.0,0.1,0.0370346642575737,Koopman-noalign-r48,koopman-noalign-r48
9,3,0.3645833333333333,0.1527777777777778,0.2769188232458014,0.0399986670346891,Koopman-noalign-r48,koopman-noalign-r48
9,4,0.25,0.0,0.1,0.0235095933274893,Koopman-noalign-r48,koopman-noalign-r48
9,5,0.25,0.0,0.1,0.0616991223880463,Koopman-noalign-r48,koopman-noalign-r48
9,6,0.2847222222222222,0.0462962962962962,0.2041312853812854,0.0281602533991903,Koopman-noalign-r48,koopman-noalign-r48
9,7,0.25,0.0,0.1,0.0347629743685778,Koopman-noalign-r48,koopman-noalign-r48
9,8,0.2604166666666667,0.0138888888888888,0.2040995798276406,0.048563913118017,Koopman-noalign-r48,koopman-noalign-r48
1,2,0.2534722222222222,0.0046296296296296,0.2345861880748933,0.0099787994484363,RA,ra
1,3,0.625,0.5,0.6123055015282023,0.1422467085825553,RA,ra
1,4,0.3472222222222222,0.1296296296296296,0.3183225190506112,0.0112379131100407,RA,ra
1,5,0.3159722222222222,0.0879629629629629,0.276393541900334,0.0278969611607326,RA,ra
1,6,0.3055555555555556,0.074074074074074,0.2925974200410074,0.0160412896409996,RA,ra
1,7,0.4305555555555556,0.2407407407407407,0.4270592807808955,0.1928041830441104,RA,ra
1,8,0.59375,0.4583333333333333,0.5977644858648152,0.1418904182952091,RA,ra
1,9,0.4236111111111111,0.2314814814814815,0.4238158112791544,0.1292081379454223,RA,ra
2,1,0.2951388888888889,0.0601851851851852,0.2681298224061382,0.0251873553843213,RA,ra
2,3,0.1840277777777778,-0.087962962962963,0.1624956534006865,0.0202032744101759,RA,ra
2,4,0.375,0.1666666666666666,0.3543212205693614,0.06797627848215,RA,ra
2,5,0.2881944444444444,0.0509259259259259,0.2464716134928901,0.17815204282245,RA,ra
2,6,0.2881944444444444,0.0509259259259259,0.2789383263739987,0.0149051998359254,RA,ra
2,7,0.1215277777777777,-0.1712962962962962,0.1229571531287517,0.0225169652144193,RA,ra
2,8,0.3194444444444444,0.0925925925925925,0.2506658418404693,0.0066326224484165,RA,ra
2,9,0.2708333333333333,0.0277777777777777,0.2425976100826555,0.0249936368917795,RA,ra
3,1,0.5520833333333334,0.4027777777777778,0.5374426855897884,0.1215165219704579,RA,ra
3,2,0.2048611111111111,-0.0601851851851851,0.2074971536133376,0.0180712938092701,RA,ra
3,4,0.3611111111111111,0.1481481481481481,0.3470144464005908,0.040710175582157,RA,ra
3,5,0.3090277777777778,0.0787037037037037,0.2920424735728603,0.030727253373086,RA,ra
3,6,0.3159722222222222,0.0879629629629629,0.3095892963604381,0.0182555719191257,RA,ra
3,7,0.4513888888888889,0.2685185185185185,0.4193376358832673,0.1279816584337366,RA,ra
3,8,0.5034722222222222,0.3379629629629629,0.5060923272787008,0.0968848570743685,RA,ra
3,9,0.5659722222222222,0.4212962962962963,0.5655244134167048,0.0990334793285571,RA,ra
4,1,0.4270833333333333,0.2361111111111111,0.3904152616764351,0.0127868139355667,RA,ra
4,2,0.2569444444444444,0.0092592592592593,0.2366783895221925,0.0518713646679304,RA,ra
4,3,0.3402777777777778,0.1203703703703703,0.3362060351718625,0.0304081731941664,RA,ra
