subject,window_id,start_trial,end_trial,acc_ra,acc_w0,acc_w05,delta_dev_vs_ra,rho_kcar,d_src,d_tgt,sigma_recent,entropy,conf_max,label
6,0,0,32,0.53125,0.21875,0.34375,-0.1875,0.9009284079194912,2.978324695128694,1.9576295991604775,0.4091263235942224,1.2487610878139774,0.4375455548475243,ra-safe
6,1,32,64,0.34375,0.21875,0.3125,-0.03125,0.8361113495346468,2.89883252427529,1.8317432746831241,0.45990509934071155,1.2225971143413448,0.462812541317845,ra-safe
6,2,64,96,0.3125,0.375,0.25,0.0625,0.9470281961693291,3.0661503971003112,1.9017629556193012,0.44190801799189827,1.1325576942318243,0.502119998003369,deviation-beneficial
6,3,96,128,0.3125,0.28125,0.34375,0.03125,0.8867919291937235,3.7069707529447555,1.861900071930427,0.4590553976927488,1.2010545225526703,0.4739674991528927,deviation-beneficial
6,4,128,160,0.34375,0.21875,0.21875,-0.125,0.85964849360738,3.849371189364806,1.856294594000051,0.47681858816176004,1.1769881074921562,0.4744894571596153,ra-safe
6,5,160,192,0.40625,0.21875,0.21875,-0.1875,0.7464370034922336,3.744860310862577,1.788391150329836,0.5201467626586812,1.1671713149955667,0.49234185101263306,ra-safe
6,6,192,224,0.375,0.15625,0.28125,-0.09375,0.9433103314813828,3.8602930465532097,1.7831940743785788,0.5026956119289374,1.218586144554732,0.4443107055240476,ra-safe
6,7,224,256,0.34375,0.3125,0.3125,-0.03125,0.8963006089388817,3.9614837087681662,1.9945070074785303,0.5134659159585598,1.1640103694575492,0.48900813598559645,ra-safe
6,8,256,288,0.21875,0.21875,0.25,0.03125,0.9439516856195579,3.6965795028535915,1.9777623849036075,0.5191237489416589,1.1784750931043544,0.47589509284461307,deviation-beneficial
7,0,0,32,0.53125,0.4375,0.5,-0.03125,0.8894906086576875,2.507141277564651,1.4052965954919001,0.25806361872480543,1.2721758686094995,0.4259865493086069,ra-safe
7,1,32,64,0.46875,0.4375,0.46875,0.0,0.9555925933734682,2.1130799766132116,1.4337304192358475,0.3313971346856513,1.274247001898742,0.40570078605096094,neutral
7,2,64,96,0.40625,0.34375,0.4375,0.03125,0.8905889784313923,2.1755876067162214,1.5820404828665704,0.3869761198414602,1.2376509893581877,0.4357123023711355,deviation-beneficial
7,3,96,128,0.28125,0.34375,0.34375,0.0625,0.906032585798204,2.14246152208483,1.4716910479670084,0.3764211798242536,1.2738151921650902,0.40180201029286255,deviation-beneficial
