proxy,rbid_vs_behavior,tail_rbid_vs_behavior,pearson_vs_behavior,spearman_vs_behavior,mean_target_corr_behavior_spearman,mean_target_corr_behavior_pearson,rbid_vs_ra,tail_rbid_vs_ra,pearson_vs_ra,spearman_vs_ra,mean_target_corr_ra_spearman
proxy_test_mean_neg_l2,0.27380952380952384,0.6015037593984962,0.47376807251105413,0.5264954428969141,0.3973974025403623,0.38845185507637675,0.3134920634920635,0.6616541353383458,0.5166873428472328,0.4663884436101,0.2623626793963809
proxy_test_cka,0.2936507936507936,0.6190476190476191,0.3579490873639866,0.3100921880925412,0.3044234728044594,0.24658847333541414,0.2738095238095238,0.5279503105590063,0.3556925314309045,0.33430643861212983,0.4019768668359023
proxy_train_mean_neg_l2,0.36507936507936506,0.6770186335403726,0.15577012056646394,0.05509031557250355,0.06628056756630753,0.1024066477433732,0.4365079365079365,0.8253968253968255,-0.1554024989531318,-0.17200255253875954,-0.2420519981398456
proxy_train_mean_cosine,0.42857142857142855,0.8174603174603174,-0.15842424541652508,-0.1817626445743495,-0.2435769119578986,-0.1927528952975387,0.39285714285714285,0.6742857142857143,-0.07364136736721455,-0.10647623880742361,0.006303348001624164
proxy_test_mean_cosine,0.43650793650793646,0.7959183673469387,-0.08338455123748913,-0.1318209566254444,-0.2636009058470046,-0.20153503257117425,0.39285714285714274,0.6770186335403726,0.014120531066157523,0.01055111973680814,0.021473613127157436
