source,target,accuracy,kappa,f1_macro,ra_accuracy,proxy_train_mean_cosine,proxy_test_mean_cosine,proxy_train_mean_neg_l2,proxy_test_mean_neg_l2,proxy_test_cka,method,method_key
1,2,0.20833333333333334,-0.05555555555555558,0.1467298482760357,0.2534722222222222,0.5550544582328382,0.4498680693678516,-4.1140361568429205,-14.586582637163396,0.025211307831904752,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,3,0.5416666666666666,0.38888888888888884,0.5467099671396192,0.625,0.5232991614160072,0.435290805390503,-4.333350984981547,-4.607891451835888,0.13294670928034197,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,4,0.2986111111111111,0.06481481481481477,0.2631000226388901,0.3472222222222222,0.5631501373191335,0.5448455786211144,-4.321617971892332,-4.547728379264448,0.02011119506116207,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,5,0.2673611111111111,0.02314814814814814,0.1732851509743511,0.3159722222222222,0.5456551893608921,0.4784676880913126,-4.219424609811986,-6.289133206374297,0.05380873956892939,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,6,0.28125,0.04166666666666663,0.2288014386943753,0.3055555555555556,0.5671842648837995,0.6336207190416706,-4.1143418286962925,-4.4209600143531915,0.04281279308290743,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,7,0.4236111111111111,0.2314814814814815,0.3526262626262626,0.4305555555555556,0.5361631582568807,0.552417410976638,-4.413311900725851,-4.422584931240588,0.10705492177282395,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,8,0.5243055555555556,0.3657407407407407,0.4960595117723531,0.59375,0.5206248578091098,0.5648967502065659,-4.134288968262148,-4.115046983750701,0.041353068302762766,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
1,9,0.4444444444444444,0.2592592592592593,0.4458511958982297,0.4236111111111111,0.5564570319575033,0.5443381694517874,-3.859577811513426,-3.969311415734677,0.1958308203054524,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,1,0.2743055555555556,0.03240740740740744,0.16537067241923603,0.2951388888888889,0.8110351629235517,0.6934605146164805,-3.7268149425581467,-13.794295538712118,0.021990686401305127,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,3,0.1527777777777778,-0.12962962962962954,0.11296841132120258,0.1840277777777778,0.7786288999521546,0.4477624962938074,-4.582390952103088,-16.450987177421315,0.043703662029861104,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,4,0.3576388888888889,0.1435185185185185,0.2985193727840787,0.375,0.7925037222608735,0.6646980941866099,-4.102421432367921,-15.19367758740648,0.02555559307929191,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,5,0.2326388888888889,-0.02314814814814814,0.20955596796920645,0.2881944444444444,0.6531999016622653,0.7412637648808279,-7.168682579509969,-11.28561593094134,0.18558271364352916,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,6,0.28125,0.04166666666666663,0.25410829098003856,0.2881944444444444,0.7735527191172051,0.631585739942653,-4.007946231285643,-16.699454611930452,0.02303956223826522,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,7,0.09722222222222222,-0.20370370370370372,0.08201381772503388,0.1215277777777777,0.7769289967546623,0.6628304863160341,-4.475919711009844,-13.428607899601898,0.01473042878413882,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,8,0.2951388888888889,0.06018518518518523,0.28634970878903343,0.3194444444444444,0.7566460327745724,0.6683813144312246,-5.144160455188874,-16.340328974489715,0.011510722681888854,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
2,9,0.23958333333333334,-0.01388888888888884,0.20341786617998772,0.2708333333333333,0.7521517903187627,0.708781968079113,-4.071469150957863,-16.1701138501694,0.029918778891979376,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,1,0.4270833333333333,0.23611111111111116,0.3713279975421137,0.5520833333333334,0.6397803453648758,0.673146366545444,-4.682801302372726,-3.991900152630336,0.19589797168469375,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,2,0.2326388888888889,-0.02314814814814814,0.18820505978040225,0.2048611111111111,0.6969474026197425,0.6085911339821085,-4.424192113411439,-13.590484312769302,0.04979709685081398,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,4,0.28125,0.04166666666666663,0.19174675096592902,0.3611111111111111,0.6403227181833862,0.6328016021998208,-4.666394511982463,-4.21896612253933,0.021598877555526523,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,5,0.3055555555555556,0.07407407407407407,0.2140542271111393,0.3090277777777778,0.6304529024091782,0.5576516317522405,-5.1919361174693615,-5.964136923558215,0.054540776968212155,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,6,0.2638888888888889,0.01851851851851849,0.16074829327841378,0.3159722222222222,0.6402529197283049,0.6031342776365477,-4.42169781460621,-4.599989879726896,0.02009961009155419,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,7,0.3090277777777778,0.07870370370370372,0.20824581013968702,0.4513888888888889,0.592683239538636,0.5470796591374163,-4.908639798917532,-4.5263164635486115,0.06195017028300132,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,8,0.3993055555555556,0.19907407407407407,0.3464915038760777,0.5034722222222222,0.6512004879052334,0.6664711394725551,-5.308483384115564,-3.8994383329141815,0.06985007096936682,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
3,9,0.4861111111111111,0.31481481481481477,0.47095691517404215,0.5659722222222222,0.7198709226788543,0.6348889871367501,-4.270373518173732,-3.7072673248268204,0.09499592418273456,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,1,0.3020833333333333,0.06944444444444442,0.17871436639084637,0.4270833333333333,0.38505509836811486,0.4266068265301308,-6.13817770165948,-4.891607559511443,0.02841094966274231,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,2,0.28125,0.04166666666666663,0.21840108704123504,0.2569444444444444,0.35966555230564307,0.32274433597904784,-6.576370828233219,-15.100674045068258,0.0336445648500235,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,3,0.3125,0.08333333333333337,0.2340724520957079,0.3402777777777778,0.356023052818826,0.4223668800306669,-6.119297271629408,-4.485601387861302,0.02732112720993111,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,5,0.2986111111111111,0.06481481481481477,0.20239217502656456,0.25,0.36747444931695533,0.37977304612582624,-6.556690053367932,-6.61658643710176,0.024034736374884753,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,6,0.2847222222222222,0.04629629629629628,0.192640737762689,0.2777777777777778,0.37151301040734397,0.4678988071259297,-6.600021146599661,-5.070857264806269,0.01387711926547126,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,7,0.3263888888888889,0.10185185185185186,0.25847009282920747,0.3298611111111111,0.48894204135662034,0.45995613451422457,-5.011423120634073,-4.656605348228563,0.012819441627587445,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,8,0.3854166666666667,0.18055555555555558,0.3779274215749427,0.4305555555555556,0.3298245021946071,0.4621586201870863,-6.5965369661429705,-4.4278709374779375,0.012952611781020492,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
4,9,0.5729166666666666,0.4305555555555556,0.5588745154054309,0.4340277777777778,0.5053604238058381,0.49842669036659887,-4.623320640553084,-3.9718287317595005,0.016004361431086855,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,1,0.3020833333333333,0.06944444444444442,0.22014161220043574,0.2881944444444444,0.791713042621067,0.7593338487844858,-3.8324936426466722,-4.150691369769793,0.028640454753290735,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,2,0.2951388888888889,0.06018518518518523,0.2663489412168403,0.2604166666666667,0.7836836558296497,0.7338769291700756,-4.5754123773863435,-11.14414222964428,0.24138388258194482,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,3,0.3611111111111111,0.14814814814814814,0.30187121870691846,0.3333333333333333,0.785365252580914,0.679609768217512,-4.080872606970081,-4.801933158068249,0.033381379589530094,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,4,0.21180555555555555,-0.05092592592592582,0.17149284819482769,0.2916666666666667,0.7979522643838906,0.7479218411321041,-3.798619558833321,-4.2603302865513255,0.021331577850600844,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,6,0.2222222222222222,-0.03703703703703698,0.1515685433278665,0.2048611111111111,0.8002711456242354,0.788986893008503,-3.8401763687252966,-3.767165982696287,0.03772939390623727,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,7,0.1909722222222222,-0.07870370370370372,0.16442495325388193,0.3194444444444444,0.7418971502015352,0.6441844200899249,-4.762949439059493,-5.343256482940599,0.02666808287816153,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,8,0.24305555555555555,-0.0092592592592593,0.1936339082402757,0.3541666666666667,0.75130034846892,0.6744960560037533,-4.344655212321359,-5.286094389753364,0.009497784761470606,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
5,9,0.2534722222222222,0.00462962962962965,0.1878527165847384,0.3159722222222222,0.638840847441984,0.6448532843264172,-4.383554901619745,-4.205645096423585,0.05026011895620672,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,1,0.3854166666666667,0.18055555555555558,0.32191861859044524,0.5,0.6885300691144642,0.658305974325484,-6.293842053211152,-6.557862359031839,0.03782606305948725,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,2,0.2673611111111111,0.02314814814814814,0.1526785714285714,0.2673611111111111,0.8285215170649433,0.7843147130237769,-3.610876485972191,-11.7801834828245,0.03811743288134483,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,3,0.3715277777777778,0.1620370370370371,0.32534249078342575,0.5208333333333334,0.6470012753823127,0.5307986338492651,-6.237305833766408,-7.072687186162943,0.017418123565380014,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,4,0.3645833333333333,0.1527777777777778,0.3431092304897331,0.4305555555555556,0.6817093255134556,0.612315224415754,-6.377829158605487,-6.791947038943759,0.013742583608142081,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,5,0.2847222222222222,0.04629629629629628,0.17940716624360814,0.3194444444444444,0.8473248639439193,0.645490717982863,-3.827172793164745,-5.928009711335638,0.04797902964749179,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
6,7,0.2534722222222222,0.00462962962962965,0.2327188616760529,0.3611111111111111,0.64805705691949,0.6967520010067016,-7.333475217918761,-6.902622813885425,0.01139458063507707,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
