target,proxy,corr_behavior_spearman,corr_ra_spearman,corr_behavior_pearson,pairwise_accuracy_mean,pairwise_ra_accuracy_mean
1,proxy_test_cka,0.8263621207201486,0.7142857142857144,0.6470321785909547,0.3819444444444444,0.44661458333333337
2,proxy_test_cka,0.5714285714285715,0.4790505047653036,0.6490741035853146,0.2508680555555556,0.23567708333333331
3,proxy_test_cka,0.38095238095238104,0.523809523809524,0.5393843656486593,0.35807291666666663,0.4444444444444445
4,proxy_test_cka,0.3333333333333334,0.261904761904762,0.2730812540551767,0.3003472222222222,0.3537326388888889
5,proxy_test_cka,-0.27545404024004955,-0.17078251276599332,-0.6862165710673077,0.2738715277777778,0.30338541666666663
6,proxy_test_cka,-0.26347777762091695,-0.023809523809523815,-0.5062281376030827,0.2751736111111111,0.2816840277777778
7,proxy_test_cka,0.5000000000000001,0.5952380952380953,0.6906660009895023,0.26953125,0.35373263888888884
8,proxy_test_cka,0.5714285714285715,0.7619047619047621,0.45654451674885305,0.36111111111111116,0.4557291666666667
9,proxy_test_cka,0.09523809523809526,0.4761904761904762,0.15595854907065732,0.41666666666666663,0.4379340277777778
1,proxy_test_mean_cosine,0.22754898976351917,0.14285714285714288,0.3793026885115702,0.3819444444444444,0.44661458333333337
2,proxy_test_mean_cosine,0.11904761904761905,0.4910267673844361,0.09187126555501732,0.2508680555555556,0.23567708333333331
3,proxy_test_mean_cosine,-0.1666666666666667,-0.023809523809523815,-0.09719898075342186,0.35807291666666663,0.4444444444444445
4,proxy_test_mean_cosine,0.0,-0.07142857142857144,0.013203969190996003,0.3003472222222222,0.3537326388888889
5,proxy_test_mean_cosine,-0.4431217169079058,0.4879500364742666,-0.6079048855067422,0.2738715277777778,0.30338541666666663
6,proxy_test_mean_cosine,-0.34731161595484505,-0.4285714285714286,-0.12421866077323157,0.2751736111111111,0.2816840277777778
7,proxy_test_mean_cosine,-0.5714285714285715,-0.14285714285714288,-0.4782316292345269,0.26953125,0.35373263888888884
8,proxy_test_mean_cosine,-0.6666666666666669,-0.07142857142857144,-0.5325896559855842,0.36111111111111116,0.4557291666666667
9,proxy_test_mean_cosine,-0.523809523809524,-0.19047619047619052,-0.45804940414464507,0.41666666666666663,0.4379340277777778
1,proxy_test_mean_neg_l2,0.7784570702436182,0.4761904761904762,0.5698336482115367,0.3819444444444444,0.44661458333333337
2,proxy_test_mean_neg_l2,0.2142857142857143,0.4191691916696407,0.22474880792131996,0.2508680555555556,0.23567708333333331
