method,rbid,rbid_pos,rbid_neg,tail_rbid
Koopman-noalign,0.34920634920634913,0.17460317460317462,0.1746031746031746,0.6802721088435374
Static Koopman aligner,0.3373015873015872,0.16865079365079363,0.16865079365079363,0.7
No Alignment,0.30158730158730157,0.15079365079365079,0.15079365079365079,0.5879120879120878
EA,0.28174603174603174,0.14087301587301587,0.14087301587301587,0.5999999999999999
RA,0.28174603174603174,0.14087301587301587,0.14087301587301587,0.6240601503759399
