method,rbid_pos,rbid_neg
Koopman-noalign,0.17460317460317462,0.1746031746031746
Static Koopman aligner,0.16865079365079363,0.16865079365079363
No Alignment,0.15079365079365079,0.15079365079365079
EA,0.14087301587301587,0.14087301587301587
RA,0.14087301587301587,0.14087301587301587
