method,method_key,accuracy_mean,accuracy_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std,koopman_pca_rank,lifting
No Alignment,noalign,0.3804012345679012,0.1179420296560833,0.17386831275720166,0.15725603954144438,0.3315192191217418,0.13633194434940551,,
EA,ea,0.43094135802469136,0.14181429157743736,0.24125514403292175,0.1890857221032498,0.4238722508297883,0.14077491945693357,,
RA,ra,0.4375,0.14078565925495343,0.25000000000000006,0.18771421233993787,0.42378360966776246,0.14424293116260614,,
Koopman-noalign,koopman-noalign,0.4108796296296296,0.1452949718951922,0.2145061728395062,0.19372662919358957,0.35858013569321556,0.1565712369995451,16.0,quadratic
Static Koopman aligner,static-koopman-aligner,0.4112654320987654,0.1447037010375489,0.21502057613168724,0.1929382680500652,0.3589824271895194,0.15555641322933922,16.0,quadratic
