target_subject,accuracy,kappa,f1_macro
1,0.3506944444444444,0.1342592592592593,0.3405972788186461
2,0.2708333333333333,0.02777777777777779,0.17701150567335017
3,0.3576388888888889,0.1435185185185185,0.32080501172839243
4,0.3611111111111111,0.14814814814814814,0.31658143261019933
5,0.2604166666666667,0.01388888888888884,0.2490903563918967
6,0.3090277777777778,0.07870370370370372,0.293524839730927
7,0.4479166666666667,0.26388888888888884,0.455098956541681
8,0.3993055555555556,0.19907407407407407,0.3794612768072484
9,0.3993055555555556,0.19907407407407407,0.39986317596314996
