method,accuracy_mean,accuracy_std,delta_vs_ra,wins,losses,draws,elapsed_sec
ra,0.4375,0.14078565925495343,0.0,0,0,9,35.147420787252486
koopman-noalign,0.4108796296296296,0.1452949718951922,-0.026620370370370367,2,5,2,36.852598450146616
noalign,0.3804012345679012,0.1179420296560833,-0.05709876543209876,2,7,0,16.35475696530193
ksda-static,0.3506944444444444,0.06184553170332249,-0.08680555555555555,2,7,0,38.5707455072552
