method,method_key,pearson_r,rbid,rbid_pos,rbid_neg,tail_rbid
Koopman-noalign,koopman-noalign,0.2000113173001142,0.3412698412698412,0.1706349206349206,0.1706349206349206,0.6666666666666666
Static Koopman aligner,static-koopman-aligner,0.4840564679661936,0.3134920634920635,0.15674603174603174,0.15674603174603174,0.6357142857142856
No Alignment,noalign,0.4669132376017698,0.30158730158730157,0.15079365079365079,0.15079365079365079,0.5879120879120878
EA,ea,0.5764939151313928,0.28174603174603174,0.14087301587301587,0.14087301587301587,0.5999999999999999
RA,ra,0.6128547162899771,0.28174603174603174,0.14087301587301587,0.14087301587301587,0.6240601503759399
