method,accuracy_mean_r16,accuracy_std_r16,kappa_mean_r16,kappa_std_r16,pearson_r_r16,rbid_r16,tail_rbid_r16,accuracy_mean_r48,accuracy_std_r48,kappa_mean_r48,kappa_std_r48,pearson_r_r48,rbid_r48,tail_rbid_r48
Koopman-noalign,0.4108796296296296,0.1452949718951922,0.2145061728395062,0.1937266291935895,0.0883630313787205,0.3492063492063491,0.6802721088435374,0.3942901234567901,0.1307409374670642,0.1923868312757201,0.1743212499560856,0.2000113173001142,0.3412698412698412,0.6666666666666666
Static Koopman aligner,0.4112654320987654,0.1447037010375489,0.2150205761316872,0.1929382680500652,0.3578548435354404,0.3373015873015872,0.7,0.3834876543209876,0.1367578604895993,0.1779835390946502,0.1823438139861325,0.4840564679661936,0.3134920634920635,0.6357142857142856
