method,rbid_pos,rbid_neg
Koopman-noalign,0.17460317460317462,0.1746031746031746
Static Koopman aligner,0.1726190476190476,0.1726190476190476
RA,0.15476190476190477,0.15476190476190477
No Alignment,0.15277777777777776,0.1527777777777778
EA,0.1488095238095238,0.1488095238095238
