target_subject,accuracy,kappa,f1_macro
1,0.5277777777777778,0.37037037037037035,0.48311660168611736
2,0.24305555555555555,-0.0092592592592593,0.21536483006554713
3,0.5868055555555556,0.44907407407407407,0.589021636319456
4,0.3645833333333333,0.1527777777777778,0.29193135482040916
5,0.3263888888888889,0.10185185185185186,0.32197527461834496
6,0.2708333333333333,0.02777777777777779,0.2683658796871779
7,0.3888888888888889,0.18518518518518523,0.35732697675982916
8,0.5590277777777778,0.4120370370370371,0.5127134228696035
9,0.4201388888888889,0.22685185185185186,0.4264887347411848
