subject,score,auroc,auprc,spearman,eligible_windows
1,conf_max,0.6666666666666667,0.5833333333333333,0.3060301198424176,5
1,d_src,0.8333333333333334,0.8333333333333333,0.6295476751044021,5
1,d_tgt,0.6666666666666667,0.5833333333333333,0.45467332090873486,5
1,entropy,0.8333333333333334,0.8333333333333333,0.43718588548916815,5
1,rho_kcar,0.16666666666666669,0.3666666666666667,-0.4022110146500346,5
1,sigma_recent,1.0,1.0,0.7519597230413692,5
2,conf_max,0.4166666666666667,0.7166666666666667,0.08403658068160179,8
2,d_src,0.3333333333333333,0.6968253968253968,-0.3025316904537665,8
2,d_tgt,0.08333333333333333,0.6218253968253968,-0.9244023874976197,8
2,entropy,0.4166666666666667,0.7166666666666667,0.3109353485219266,8
2,rho_kcar,1.0,1.0,0.5966597228393727,8
2,sigma_recent,0.25,0.6746031746031745,-0.5210268002259311,8
3,conf_max,0.5,0.5777777777777777,0.02531848417709166,9
3,d_src,0.27777777777777773,0.30357142857142855,-0.649841093878686,9
3,d_tgt,0.3333333333333333,0.3277777777777778,-0.2447453470452194,9
3,entropy,0.5,0.5777777777777777,0.05063696835418332,9
3,rho_kcar,0.7777777777777778,0.7222222222222222,0.37977726265637496,9
3,sigma_recent,0.05555555555555554,0.25,-0.6414015991529888,9
4,conf_max,0.625,0.7,0.22983926330486215,6
4,d_src,0.375,0.41666666666666663,-0.15322617553657475,6
4,d_tgt,0.75,0.75,0.36604030822626193,6
4,entropy,0.625,0.7,0.34050261230349943,6
4,rho_kcar,0.75,0.75,0.1276884796138123,6
4,sigma_recent,0.875,0.8333333333333333,0.45116596130213676,6
5,conf_max,0.7777777777777779,0.5888888888888888,0.2016877936358443,9
5,d_src,0.6666666666666666,0.7777777777777777,0.09244023874976198,9
5,d_tgt,0.16666666666666663,0.2757936507936508,-0.08403658068160179,9
5,entropy,0.7777777777777779,0.5888888888888888,0.26891705818112577,9
5,rho_kcar,0.6111111111111112,0.4666666666666667,0.1176512129542425,9
5,sigma_recent,0.4444444444444444,0.4027777777777778,0.05882560647712125,9
6,conf_max,0.2777777777777778,0.3055555555555555,-0.37977726265637496,9
6,d_src,0.33333333333333337,0.3206349206349206,-0.17722938923964163,9
6,d_tgt,0.7222222222222223,0.5333333333333333,0.3713377679306777,9
6,entropy,0.3333333333333333,0.3277777777777778,-0.3460192837535861,9
6,rho_kcar,0.8333333333333333,0.8333333333333333,0.5401276624446222,9
6,sigma_recent,0.38888888888888884,0.38690476190476186,-0.1687898945139444,9
7,conf_max,0.5833333333333333,0.7928571428571428,0.32632755862204493,7
7,d_src,0.33333333333333337,0.525,-0.27480215462909047,7
7,d_tgt,0.5833333333333334,0.6458333333333333,0.0772881059894317,7
7,entropy,0.5,0.7095238095238094,0.111638375318068,7
7,rho_kcar,0.5833333333333334,0.6458333333333333,0.1889264813074997,7
7,sigma_recent,0.6666666666666667,0.6791666666666667,0.3692653952828403,7
8,conf_max,0.26666666666666666,0.5592857142857143,-0.10215078369104984,8
8,d_src,0.4666666666666667,0.6416666666666666,0.07661308776828737,8
8,d_tgt,0.7333333333333334,0.81,0.32347748168832446,8
8,entropy,0.4,0.6226190476190476,0.13620104492139978,8
8,rho_kcar,0.4666666666666667,0.6961904761904761,0.331990046995912,8
8,sigma_recent,0.4,0.6226190476190476,-0.14471361022898727,8
9,conf_max,0.2,0.6961904761904762,-0.7511150305870526,7
9,d_src,0.4,0.7595238095238095,-0.06751595780557777,7
9,d_tgt,0.8,0.9428571428571428,0.4135352415591638,7
9,entropy,0.1,0.5961904761904762,-0.8186309883926304,7
9,rho_kcar,1.0,1.0,0.573885641347411,7
9,sigma_recent,0.6,0.8761904761904762,0.2363058523195222,7
