source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
1,2,0.009978799448436344,0.2534722222222222,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
1,3,0.14224670858255536,0.625,0.7142857142857142,1.0,0.2857142857142858,0.0,0.2857142857142858
1,4,0.011237913110040722,0.3472222222222222,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855
1,5,0.027896961160732654,0.3159722222222222,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
1,6,0.016041289640999608,0.3055555555555556,0.42857142857142855,0.7142857142857142,0.28571428571428564,0.0,0.28571428571428564
1,7,0.19280418304411043,0.4305555555555556,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
1,8,0.1418904182952091,0.59375,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
1,9,0.12920813794542235,0.4236111111111111,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0
2,1,0.025187355384321382,0.2951388888888889,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
2,3,0.020203274410175963,0.1840277777777778,0.0,0.0,0.0,0.0,0.0
2,4,0.06797627848215008,0.375,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
2,5,0.17815204282245004,0.2881944444444444,1.0,0.14285714285714285,0.8571428571428572,0.8571428571428572,0.0
2,6,0.014905199835925427,0.2881944444444444,0.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
2,7,0.02251696521441936,0.12152777777777778,0.0,0.0,0.0,0.0,0.0
2,8,0.006632622448416534,0.3194444444444444,0.0,0.0,0.0,0.0,0.0
2,9,0.02499363689177956,0.2708333333333333,0.0,0.0,0.0,0.0,0.0
3,1,0.1215165219704579,0.5520833333333334,0.5714285714285714,1.0,0.4285714285714286,0.0,0.4285714285714286
3,2,0.018071293809270104,0.2048611111111111,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0
3,4,0.040710175582157,0.3611111111111111,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
3,5,0.030727253373086058,0.3090277777777778,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
3,6,0.01825557191912579,0.3159722222222222,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
3,7,0.12798165843373668,0.4513888888888889,0.7142857142857142,0.8571428571428571,0.1428571428571429,0.0,0.1428571428571429
3,8,0.09688485707436854,0.5034722222222222,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
3,9,0.09903347932855712,0.5659722222222222,0.5714285714285714,1.0,0.4285714285714286,0.0,0.4285714285714286
4,1,0.012786813935566707,0.4270833333333333,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
4,2,0.051871364667930416,0.2569444444444444,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0
4,3,0.030408173194166464,0.3402777777777778,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
4,5,0.042643651944883385,0.25,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
4,6,0.02442030020882039,0.2777777777777778,0.7142857142857142,0.42857142857142855,0.28571428571428564,0.28571428571428564,0.0
4,7,0.02451992525081898,0.3298611111111111,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
4,8,0.016941861206136267,0.4305555555555556,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
4,9,0.03202632651100635,0.4340277777777778,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
5,1,0.02915155862203758,0.2881944444444444,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0
5,2,0.1775740332233357,0.2604166666666667,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
5,3,0.024853103136478902,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
5,4,0.06201551588012834,0.2916666666666667,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
5,6,0.02947612355553672,0.2048611111111111,1.0,0.0,1.0,1.0,0.0
5,7,0.0345549455035069,0.3194444444444444,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0
5,8,0.023326096612531124,0.3541666666666667,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
