,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.7434169284748933,0.23458618807489331,0.6123055015282023,0.31832251905061126,0.27639354190033405,0.2925974200410074,0.42705928078089556,0.5977644858648152,0.4238158112791544
A02,0.2681298224061382,0.4615693124416755,0.1624956534006865,0.35432122056936144,0.2464716134928901,0.27893832637399874,0.12295715312875172,0.25066584184046936,0.24259761008265554
A03,0.5374426855897884,0.20749715361333768,0.731531508429846,0.34701444640059087,0.2920424735728603,0.3095892963604381,0.4193376358832673,0.5060923272787008,0.5655244134167048
A04,0.3904152616764351,0.23667838952219256,0.3362060351718625,0.5257508100690202,0.2189641961345322,0.28132728536597734,0.32196392569279103,0.41856084357229834,0.4302010656775295
A05,0.2944219453041158,0.24865750777762402,0.2982327427094869,0.285992369255641,0.3494023916881226,0.20305826314220704,0.2956268965580538,0.3162835515497694,0.32195745263043285
A06,0.4739241972124465,0.23919885731620993,0.5163644947422953,0.4292730886135141,0.3172807863088361,0.41146738246102926,0.34995465253399866,0.39093029276163493,0.3569550479819523
A07,0.44568553941041167,0.15156976368697106,0.5743671713526572,0.29173641500635644,0.28413195860839513,0.251893405054509,0.6870833689635325,0.4768640368326072,0.548130718734785
A08,0.4892078326125505,0.18011163975204328,0.4988136275064567,0.39331666236448115,0.3102070667481978,0.26890777809895455,0.322740146099457,0.7303083028300752,0.5524786537663249
A09,0.48604632029506983,0.21829025715956749,0.487031801990024,0.3353535711300686,0.3185803333091135,0.32062905330133656,0.4660116702119003,0.5214080998537165,0.7678909494832415
