source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
1,2,0.00975188436082697,0.28125,0.14285714285714285,1.0,0.8571428571428572,0.0,0.8571428571428572
1,3,0.14135299554891542,0.6006944444444444,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
1,4,0.010213471039537,0.2986111111111111,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855
1,5,0.024730197919143822,0.2638888888888889,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855
1,6,0.014999957097173725,0.2847222222222222,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
1,7,0.1937276280962666,0.3923611111111111,1.0,1.0,0.0,0.0,0.0
1,8,0.13878150789173346,0.3194444444444444,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.7142857142857142,0.0
1,9,0.12776708008225282,0.28125,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.7142857142857142,0.0
2,1,0.02558641366384389,0.3923611111111111,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
2,3,0.017857999758673825,0.1875,0.0,0.0,0.0,0.0,0.0
2,4,0.0635536839788973,0.3506944444444444,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
2,5,0.18072420410206066,0.2708333333333333,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
2,6,0.011762422150602702,0.2777777777777778,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
2,7,0.02200569828841845,0.1284722222222222,0.0,0.0,0.0,0.0,0.0
2,8,0.006583766518666451,0.22916666666666666,0.0,0.0,0.0,0.0,0.0
2,9,0.025501737140073467,0.1840277777777778,0.0,0.0,0.0,0.0,0.0
3,1,0.12546932349744538,0.53125,0.5714285714285714,1.0,0.4285714285714286,0.0,0.4285714285714286
3,2,0.017863703737922183,0.2569444444444444,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
3,4,0.039228004170186126,0.2534722222222222,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0
3,5,0.026977796820993785,0.2847222222222222,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.0,0.42857142857142855
3,6,0.017727473417866155,0.2986111111111111,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.0,0.2857142857142857
