,A01,A02,A03,A04,A05,A06,A07,A08,A09
A01,0.7434169284748933,0.18663101604278073,0.5631397164154216,0.2643653187035269,0.1272994585290637,0.23739775817944553,0.3740109165910013,0.22456709956709958,0.15983862541359495
A02,0.30005690737833596,0.4615693124416755,0.14923356968382276,0.2859392584970578,0.20381300462342894,0.19855449624235752,0.07442434210526316,0.1507320239888159,0.13571378340365683
A03,0.46344813080247965,0.19601858185134519,0.731531508429846,0.1132248000860616,0.19480123688044482,0.232746976838724,0.19117449756643212,0.3807079027310669,0.2524768748173003
A04,0.3619188302155859,0.11955391401011224,0.33210115410557095,0.5257508100690202,0.10712786660052658,0.2795936860001028,0.2585415119234542,0.3951260288065844,0.308712769979042
A05,0.2367459185955496,0.22321064651016365,0.10759709289121054,0.2038925191527715,0.3494023916881226,0.19237982177223661,0.19959078735243643,0.23572728060296283,0.20898096896451124
A06,0.2793893265204741,0.15004388930298665,0.4542137686874529,0.2597138412538179,0.10591876792994112,0.41146738246102926,0.24790582958167928,0.2956537843422362,0.2143443978907364
A07,0.4768150139848253,0.13521192908301044,0.4852148678263805,0.22844769254615804,0.10638176638176638,0.15417840375586855,0.6870833689635325,0.3981818108490798,0.3805714044207768
A08,0.46007445279102754,0.14908514974304446,0.49324883140156855,0.2752797476992038,0.21560608976414994,0.21146114025862797,0.2808642817502062,0.7303083028300752,0.47296172836145833
A09,0.20981064392519472,0.1,0.22690649059545853,0.10027855153203342,0.1,0.17384254333623123,0.1,0.2518162393162393,0.7678909494832415
