subject,train_accuracy,accuracy,kappa,f1_macro
1,0.8263888888888888,0.7430555555555556,0.6574074074074074,0.7434169284748933
2,0.7222222222222222,0.4826388888888889,0.31018518518518523,0.4615693124416755
3,0.8611111111111112,0.7395833333333334,0.6527777777777778,0.731531508429846
4,0.6979166666666666,0.53125,0.375,0.5257508100690202
5,0.5451388888888888,0.3680555555555556,0.15740740740740744,0.3494023916881226
6,0.5798611111111112,0.4166666666666667,0.2222222222222222,0.41146738246102926
7,0.8159722222222222,0.6944444444444444,0.5925925925925926,0.6870833689635325
8,0.8680555555555556,0.7291666666666666,0.6388888888888888,0.7303083028300752
9,0.6875,0.7673611111111112,0.6898148148148149,0.7678909494832415
