policy,setting,coverage,mean_accuracy,std_accuracy,mean_delta_vs_ra,wins_vs_ra,losses_vs_ra,worst_subject_delta,late_session_acc,negative_transfer_subject_count,mean_balanced_accuracy,mean_macro_f1
d_tgt,retrospective,0.4,0.4178240740740741,0.1382036045261206,-0.009645061728395058,3,5,-0.03819444444444442,0.39351851851851855,5,0.4178240740740741,0.4017109983053917
d_tgt,retrospective,0.5,0.4178240740740741,0.1382036045261206,-0.009645061728395058,3,5,-0.03819444444444442,0.39351851851851855,5,0.4178240740740741,0.4017109983053917
d_tgt,retrospective,0.6,0.42013888888888895,0.14145843560788318,-0.007330246913580252,3,6,-0.048611111111111105,0.39699074074074076,6,0.4201388888888889,0.40406113427775625
d_tgt,retrospective,0.7,0.4189814814814815,0.13961399262512478,-0.008487654320987657,3,6,-0.041666666666666685,0.3993055555555556,6,0.4189814814814815,0.4014276407010661
d_tgt,retrospective,0.8,0.42129629629629634,0.13563906239322648,-0.006172839506172843,3,5,-0.041666666666666685,0.4085648148148148,5,0.42129629629629634,0.40209832236275317
d_tgt,retrospective,0.9,0.4182098765432099,0.1299431455916328,-0.00925925925925927,5,4,-0.0625,0.4027777777777778,4,0.41820987654320985,0.396290421237966
kcar,near_causal,0.1,0.4305555555555556,0.13076270873368434,0.0030864197530864027,6,3,-0.01041666666666674,0.40740740740740744,3,0.4305555555555556,0.4131075335830311
kcar,near_causal,0.2,0.43248456790123463,0.12754346051159574,0.005015432098765436,5,3,-0.01388888888888895,0.4074074074074074,3,0.4324845679012346,0.4159326804915464
kcar,near_causal,0.3,0.42824074074074076,0.12804922857351234,0.0007716049382715898,4,4,-0.02083333333333337,0.4074074074074074,4,0.42824074074074076,0.41168812924617587
kcar,near_causal,0.4,0.42746913580246915,0.13109012120446203,-9.25185853854297e-18,4,4,-0.02430555555555558,0.4074074074074074,4,0.42746913580246915,0.41030412088229906
