policy,setting,coverage,mean_acc,mean_bacc,mean_macro_f1,late_session_acc,delta_vs_ra,worst_subject_delta
kcar,retrospective,0.6,0.42554012345679015,0.4255401234567901,0.4067531075343813,0.3912037037037037,-0.0019290123456790086,-0.038194444444444475
kcar,retrospective,0.7,0.43209876543209874,0.43209876543209874,0.412538370285279,0.40046296296296297,0.004629629629629619,-0.034722222222222265
kcar,retrospective,0.8,0.42862654320987653,0.42862654320987653,0.4070544730125224,0.39814814814814814,0.0011574074074074095,-0.048611111111111105
kcar,retrospective,0.9,0.4220679012345679,0.4220679012345679,0.398865363132024,0.3993055555555556,-0.00540123456790124,-0.05208333333333337
ra,near_causal,0.1,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.2,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.3,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.4,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.5,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.6,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.7,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.8,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,near_causal,0.9,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.1,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.2,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.3,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.4,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.5,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.6,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.7,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.8,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
ra,retrospective,0.9,0.42746913580246915,0.42746913580246915,0.40867308042218814,0.3993055555555556,0.0,0.0
sigma_recent,near_causal,0.1,0.4224537037037037,0.4224537037037037,0.4046129335328909,0.3842592592592593,-0.005015432098765439,-0.01736111111111116
sigma_recent,near_causal,0.2,0.4201388888888889,0.4201388888888889,0.4032621948795956,0.38657407407407407,-0.007330246913580248,-0.02083333333333337
sigma_recent,near_causal,0.3,0.4166666666666667,0.4166666666666667,0.3993927219473847,0.38310185185185186,-0.010802469135802469,-0.03819444444444442
sigma_recent,near_causal,0.4,0.41435185185185186,0.41435185185185186,0.39636998703323356,0.3877314814814815,-0.013117283950617287,-0.04513888888888895
sigma_recent,near_causal,0.5,0.41435185185185186,0.41435185185185186,0.39636998703323356,0.3877314814814815,-0.013117283950617287,-0.04513888888888895
sigma_recent,near_causal,0.6,0.41820987654320985,0.41820987654320985,0.40000225698248876,0.3888888888888889,-0.009259259259259252,-0.038194444444444475
sigma_recent,near_causal,0.7,0.4174382716049383,0.4174382716049383,0.39800393470268447,0.39814814814814814,-0.010030864197530869,-0.05208333333333337
sigma_recent,near_causal,0.8,0.41705246913580246,0.41705246913580246,0.39549855997474226,0.39467592592592593,-0.010416666666666664,-0.048611111111111105
sigma_recent,near_causal,0.9,0.41435185185185186,0.41435185185185186,0.390225241826937,0.39467592592592593,-0.013117283950617283,-0.06944444444444448
sigma_recent,retrospective,0.1,0.4220679012345679,0.4220679012345679,0.40516667213967117,0.40046296296296297,-0.005401234567901237,-0.02083333333333337
sigma_recent,retrospective,0.2,0.4243827160493827,0.4243827160493827,0.40767949090061967,0.4016203703703704,-0.0030864197530864213,-0.02430555555555558
sigma_recent,retrospective,0.3,0.4263117283950617,0.4263117283950617,0.41015573164848407,0.40046296296296297,-0.0011574074074074125,-0.02777777777777779
sigma_recent,retrospective,0.4,0.4220679012345679,0.4220679012345679,0.40663771707886587,0.3969907407407407,-0.005401234567901237,-0.04166666666666663
sigma_recent,retrospective,0.5,0.4220679012345679,0.4220679012345679,0.40663771707886587,0.3969907407407407,-0.005401234567901237,-0.04166666666666663
sigma_recent,retrospective,0.6,0.4174382716049383,0.41743827160493824,0.40159440370476784,0.3923611111111111,-0.010030864197530853,-0.05902777777777779
sigma_recent,retrospective,0.7,0.41628086419753085,0.41628086419753085,0.39895229565772,0.3888888888888889,-0.011188271604938278,-0.04861111111111116
sigma_recent,retrospective,0.8,0.4139660493827161,0.4139660493827161,0.39320164400393676,0.38310185185185186,-0.013503086419753094,-0.05208333333333337
sigma_recent,retrospective,0.9,0.41782407407407407,0.41782407407407407,0.3942874939915092,0.39467592592592593,-0.009645061728395073,-0.05208333333333337
