policy,setting,coverage,baseline_policy,mean_accuracy,mean_delta_vs_baseline,wins,losses,draws,worst_subject_delta,late_session_gap
sigma_recent,retrospective,0.8,ra,0.4139660493827161,-0.013503086419753094,3,6,0,-0.05208333333333337,-0.016203703703703706
d_tgt,retrospective,0.9,ra,0.4182098765432099,-0.00925925925925927,5,4,0,-0.0625,0.003472222222222216
kcar,retrospective,0.9,ra,0.4220679012345679,-0.00540123456790124,4,4,1,-0.05208333333333337,6.1679056923619804e-18
sigma_recent,retrospective,0.9,ra,0.41782407407407407,-0.009645061728395073,4,5,0,-0.05208333333333337,-0.004629629629629632
kcar,near_causal,0.1,d_tgt,0.4305555555555556,0.001543209876543192,3,3,3,-0.01041666666666674,0.004629629629629632
kcar,near_causal,0.2,d_tgt,0.43248456790123463,0.006558641975308649,4,3,2,-0.017361111111111105,0.004629629629629626
kcar,near_causal,0.3,d_tgt,0.42824074074074076,0.0007716049382715776,4,4,1,-0.01388888888888895,0.0023148148148148004
kcar,near_causal,0.4,d_tgt,0.42746913580246915,0.0023148148148148064,4,5,0,-0.017361111111111105,0.0023148148148148004
kcar,near_causal,0.5,d_tgt,0.42746913580246915,0.0023148148148148064,4,5,0,-0.017361111111111105,0.0023148148148148004
kcar,near_causal,0.6,d_tgt,0.42554012345679015,-0.0034722222222222376,4,5,0,-0.02777777777777779,-0.006944444444444451
kcar,near_causal,0.7,d_tgt,0.4232253086419753,-1.2335811384723961e-17,4,3,2,-0.02083333333333337,-0.0011574074074074032
kcar,near_causal,0.8,d_tgt,0.41898148148148145,-0.0019290123456790025,4,4,1,-0.048611111111111105,-0.005787037037037023
kcar,near_causal,0.9,d_tgt,0.4182098765432099,0.0015432098765432198,3,3,3,-0.010416666666666657,0.006944444444444451
kcar,retrospective,0.1,d_tgt,0.4270833333333333,0.0023148148148148034,4,4,1,-0.013888888888888895,-0.0011574074074074095
kcar,retrospective,0.2,d_tgt,0.42592592592592593,0.0019290123456789992,3,5,1,-0.013888888888888895,-0.002314814814814813
kcar,retrospective,0.3,d_tgt,0.4263117283950617,0.005787037037037029,4,3,2,-0.01388888888888895,-0.0011574074074074156
kcar,retrospective,0.4,d_tgt,0.4247685185185185,0.006944444444444444,6,2,1,-0.01736111111111116,0.003472222222222222
kcar,retrospective,0.5,d_tgt,0.4247685185185185,0.006944444444444444,6,2,1,-0.01736111111111116,0.003472222222222222
kcar,retrospective,0.6,d_tgt,0.42554012345679015,0.005401234567901243,3,6,0,-0.01736111111111116,-0.005787037037037035
kcar,retrospective,0.7,d_tgt,0.43209876543209874,0.013117283950617278,7,2,0,-0.01388888888888895,0.0011574074074074219
