policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,near_causal,0.1,1,0.5520833333333334,0.5520833333333334,0.0,0.5,0,0.5520833333333334,0.5287474591328291
d_tgt,near_causal,0.1,2,0.21875,0.21875,0.0,0.2708333333333333,0,0.21875,0.2054118246176451
d_tgt,near_causal,0.1,3,0.6493055555555556,0.6527777777777778,-0.00347222222222221,0.6145833333333334,1,0.6493055555555556,0.6435434721341506
d_tgt,near_causal,0.1,4,0.3854166666666667,0.3854166666666667,0.0,0.4270833333333333,0,0.38541666666666663,0.35568452240009024
d_tgt,near_causal,0.1,5,0.3368055555555556,0.3298611111111111,0.006944444444444475,0.3333333333333333,0,0.3368055555555556,0.33604645628064167
d_tgt,near_causal,0.1,6,0.3576388888888889,0.3541666666666667,0.00347222222222221,0.3229166666666667,0,0.3576388888888889,0.34212760986573604
d_tgt,near_causal,0.1,7,0.3958333333333333,0.3888888888888889,0.00694444444444442,0.3125,0,0.39583333333333337,0.3839051815058008
d_tgt,near_causal,0.1,8,0.5381944444444444,0.5451388888888888,-0.00694444444444442,0.5416666666666666,1,0.5381944444444444,0.475397617905048
d_tgt,near_causal,0.1,9,0.4270833333333333,0.4201388888888889,0.00694444444444442,0.3020833333333333,0,0.4270833333333333,0.4336518634450721
d_tgt,near_causal,0.2,1,0.5486111111111112,0.5520833333333334,-0.00347222222222221,0.4895833333333333,1,0.548611111111111,0.5199670568427984
d_tgt,near_causal,0.2,2,0.22569444444444445,0.21875,0.0069444444444444475,0.2708333333333333,0,0.22569444444444445,0.21122702212431294
d_tgt,near_causal,0.2,3,0.6319444444444444,0.6527777777777778,-0.02083333333333337,0.6145833333333334,2,0.6319444444444444,0.6282921271156745
d_tgt,near_causal,0.2,4,0.3923611111111111,0.3854166666666667,0.00694444444444442,0.4270833333333333,0,0.3923611111111111,0.35844519751599335
d_tgt,near_causal,0.2,5,0.3125,0.3298611111111111,-0.017361111111111105,0.3333333333333333,1,0.3125,0.3124635241301908
d_tgt,near_causal,0.2,6,0.3368055555555556,0.3541666666666667,-0.017361111111111105,0.3229166666666667,1,0.3368055555555556,0.3270797590241047
d_tgt,near_causal,0.2,7,0.4027777777777778,0.3888888888888889,0.013888888888888895,0.3125,0,0.4027777777777778,0.3938273972570417
d_tgt,near_causal,0.2,8,0.5416666666666666,0.5451388888888888,-0.00347222222222221,0.5520833333333334,1,0.5416666666666667,0.4824346543825617
d_tgt,near_causal,0.2,9,0.4409722222222222,0.4201388888888889,0.020833333333333315,0.3020833333333333,0,0.4409722222222222,0.4499386555693689
d_tgt,near_causal,0.3,1,0.5520833333333334,0.5520833333333334,0.0,0.5,1,0.5520833333333333,0.5229078037500265
d_tgt,near_causal,0.3,2,0.2326388888888889,0.21875,0.013888888888888895,0.2916666666666667,0,0.23263888888888887,0.2164834583682751
d_tgt,near_causal,0.3,3,0.6423611111111112,0.6527777777777778,-0.01041666666666663,0.6145833333333334,2,0.6423611111111112,0.640025964981981
d_tgt,near_causal,0.3,4,0.3888888888888889,0.3854166666666667,0.00347222222222221,0.4166666666666667,1,0.3888888888888889,0.35322966912075826
d_tgt,near_causal,0.3,5,0.3055555555555556,0.3298611111111111,-0.024305555555555525,0.3333333333333333,2,0.3055555555555556,0.3029692578642831
