target_subject,accuracy_candidate,accuracy_reference,delta
1,0.5277777777777778,0.5520833333333334,-0.02430555555555558
2,0.24305555555555555,0.21875,0.024305555555555552
3,0.5868055555555556,0.6527777777777778,-0.06597222222222221
4,0.3645833333333333,0.3854166666666667,-0.02083333333333337
5,0.3263888888888889,0.3298611111111111,-0.00347222222222221
6,0.2708333333333333,0.3541666666666667,-0.08333333333333337
7,0.3888888888888889,0.3888888888888889,0.0
8,0.5590277777777778,0.5451388888888888,0.01388888888888895
9,0.4201388888888889,0.4201388888888889,0.0
