target_subject,accuracy,kappa,f1_macro
1,0.6076388888888888,0.47685185185185186,0.5308665808665809
2,0.21180555555555555,-0.05092592592592582,0.1771231227087324
3,0.4513888888888889,0.2685185185185185,0.4379821589791747
4,0.3368055555555556,0.1157407407407407,0.25477773515748203
5,0.2638888888888889,0.01851851851851849,0.13780514385353093
6,0.3263888888888889,0.10185185185185186,0.2902113892011327
7,0.2569444444444444,0.0092592592592593,0.25273624938259087
8,0.5381944444444444,0.3842592592592593,0.5247631944864276
9,0.4583333333333333,0.2777777777777778,0.4218979719995567
