source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
1,2,0.01869713932529107,0.24305555555555555,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
1,3,0.246897544625482,0.4409722222222222,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.0
1,4,0.039802499314763075,0.3472222222222222,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.0,0.42857142857142855
1,5,0.06562106602462249,0.25,0.7142857142857142,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.0
1,6,0.06709146700736172,0.3020833333333333,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
1,7,0.17755292396481598,0.5347222222222222,1.0,1.0,0.0,0.0,0.0
1,8,0.11923456666105324,0.4513888888888889,0.7142857142857142,1.0,0.2857142857142858,0.0,0.2857142857142858
1,9,0.2091007471232383,0.34375,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0
2,1,0.020118844225438755,0.1909722222222222,0.0,0.0,0.0,0.0,0.0
2,3,0.030848100725588298,0.09027777777777778,0.0,0.0,0.0,0.0,0.0
2,4,0.03196260434441876,0.3923611111111111,0.0,1.0,1.0,0.0,1.0
2,5,0.053732528092977544,0.22916666666666666,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0
2,6,0.028903620387333982,0.25,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
2,7,0.03142801031350856,0.12152777777777778,0.0,0.0,0.0,0.0,0.0
2,8,0.010629957050464763,0.3333333333333333,0.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855
2,9,0.04613974592812245,0.3368055555555556,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
3,1,0.25727556079024894,0.4236111111111111,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.0
3,2,0.03773870227703934,0.23958333333333334,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
3,4,0.04167568553232915,0.2361111111111111,0.7142857142857142,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.0
3,5,0.06347013532206139,0.3125,0.5714285714285714,1.0,0.4285714285714286,0.0,0.4285714285714286
3,6,0.050740223092626185,0.2569444444444444,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
3,7,0.12495106259274424,0.3333333333333333,0.8571428571428571,0.7142857142857142,0.1428571428571429,0.1428571428571429,0.0
3,8,0.14707128967578548,0.2708333333333333,0.8571428571428571,0.14285714285714285,0.7142857142857142,0.7142857142857142,0.0
3,9,0.16887293023028,0.4236111111111111,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
4,1,0.037427055391729684,0.3645833333333333,0.14285714285714285,0.7142857142857142,0.5714285714285714,0.0,0.5714285714285714
4,2,0.04210476733689724,0.2569444444444444,0.5714285714285714,0.7142857142857142,0.1428571428571428,0.0,0.1428571428571428
4,3,0.03545748822241047,0.4131944444444444,0.14285714285714285,0.7142857142857142,0.5714285714285714,0.0,0.5714285714285714
4,5,0.0437151811013014,0.2881944444444444,0.0,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571
4,6,0.05247690491860472,0.3125,0.42857142857142855,1.0,0.5714285714285714,0.0,0.5714285714285714
4,7,0.04964133289572514,0.3333333333333333,0.14285714285714285,0.8571428571428571,0.7142857142857142,0.0,0.7142857142857142
4,8,0.04023471846917026,0.4479166666666667,0.14285714285714285,0.8571428571428571,0.7142857142857142,0.0,0.7142857142857142
4,9,0.04329050516812567,0.375,0.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714
5,1,0.04892196038693873,0.3541666666666667,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
5,2,0.19319592526519064,0.3020833333333333,1.0,1.0,0.0,0.0,0.0
5,3,0.0671086757543093,0.3159722222222222,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
5,4,0.04218477505478362,0.2326388888888889,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
5,6,0.06791905888374188,0.2916666666666667,1.0,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.0
5,7,0.07482991699476343,0.2638888888888889,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
5,8,0.04929260523802348,0.2152777777777778,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0
5,9,0.06828953623351672,0.2048611111111111,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0
6,1,0.07741563057212733,0.3402777777777778,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0
6,2,0.03988960252686209,0.2604166666666667,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.0,0.42857142857142855
6,3,0.05570822042904406,0.3819444444444444,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857
6,4,0.046960342773313735,0.3055555555555556,1.0,0.7142857142857142,0.2857142857142858,0.2857142857142858,0.0
6,5,0.06986530336678218,0.25,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0
6,7,0.08461994409070422,0.2534722222222222,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0
6,8,0.05600400819780999,0.3541666666666667,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
6,9,0.06829473396279066,0.2604166666666667,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
7,1,0.20378648502422633,0.4930555555555556,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
