source,target,accuracy,kappa,f1_macro,cka
1,2,0.24305555555555555,-0.0092592592592593,0.13973820719510374,0.01869713932529107
1,3,0.4409722222222222,0.25462962962962965,0.4094525844525845,0.246897544625482
1,4,0.3472222222222222,0.12962962962962965,0.3027332620282404,0.039802499314763075
1,5,0.25,0.0,0.1,0.06562106602462249
1,6,0.3020833333333333,0.06944444444444442,0.2725079210566798,0.06709146700736172
1,7,0.5347222222222222,0.37962962962962965,0.5429924376285534,0.17755292396481598
1,8,0.4513888888888889,0.2685185185185185,0.36412703552360015,0.11923456666105324
1,9,0.34375,0.125,0.26984558020102845,0.2091007471232383
2,1,0.1909722222222222,-0.07870370370370372,0.13121376493629872,0.020118844225438755
2,3,0.09027777777777778,-0.21296296296296302,0.07155811469602275,0.030848100725588298
2,4,0.3923611111111111,0.18981481481481477,0.2830713234514033,0.03196260434441876
2,5,0.22916666666666666,-0.02777777777777768,0.18495732180467797,0.053732528092977544
2,6,0.25,0.0,0.212270802040623,0.028903620387333982
2,7,0.12152777777777778,-0.17129629629629628,0.10229378751258494,0.03142801031350856
2,8,0.3333333333333333,0.11111111111111116,0.2825772890797082,0.010629957050464763
2,9,0.3368055555555556,0.1157407407407407,0.2941533066751092,0.04613974592812245
3,1,0.4236111111111111,0.2314814814814815,0.3631002136156775,0.25727556079024894
3,2,0.23958333333333334,-0.01388888888888884,0.16664920228058014,0.03773870227703934
3,4,0.2361111111111111,-0.0185185185185186,0.12640837629870313,0.04167568553232915
3,5,0.3125,0.08333333333333337,0.2571020718908043,0.06347013532206139
3,6,0.2569444444444444,0.0092592592592593,0.14936358094640773,0.050740223092626185
3,7,0.3333333333333333,0.11111111111111116,0.23271784120840727,0.12495106259274424
3,8,0.2708333333333333,0.02777777777777779,0.14630679389588508,0.14707128967578548
3,9,0.4236111111111111,0.2314814814814815,0.3950858111535939,0.16887293023028
4,1,0.3645833333333333,0.1527777777777778,0.28294157020237815,0.037427055391729684
4,2,0.2569444444444444,0.0092592592592593,0.1855830124632688,0.04210476733689724
4,3,0.4131944444444444,0.21759259259259256,0.37739088430756684,0.03545748822241047
4,5,0.2881944444444444,0.05092592592592593,0.19057734881970756,0.0437151811013014
4,6,0.3125,0.08333333333333337,0.29458957671108665,0.05247690491860472
4,7,0.3333333333333333,0.11111111111111116,0.24481759606916054,0.04964133289572514
4,8,0.4479166666666667,0.26388888888888884,0.3434028639269144,0.04023471846917026
4,9,0.375,0.16666666666666663,0.3461023379116484,0.04329050516812567
5,1,0.3541666666666667,0.13888888888888884,0.2332280019445795,0.04892196038693873
5,2,0.3020833333333333,0.06944444444444442,0.2467095209387642,0.19319592526519064
5,3,0.3159722222222222,0.08796296296296291,0.2560041088854648,0.0671086757543093
5,4,0.2326388888888889,-0.02314814814814814,0.11840806437139181,0.04218477505478362
5,6,0.2916666666666667,0.05555555555555558,0.2170203123227281,0.06791905888374188
5,7,0.2638888888888889,0.01851851851851849,0.23132754908760372,0.07482991699476343
5,8,0.2152777777777778,-0.04629629629629628,0.1339590216703112,0.04929260523802348
5,9,0.2048611111111111,-0.06018518518518512,0.12838224085365854,0.06828953623351672
6,1,0.3402777777777778,0.12037037037037035,0.255548053641274,0.07741563057212733
