target_subject,accuracy,kappa,f1_macro,method
1,0.5208333333333334,0.36111111111111116,0.45805481338432447,noalign
2,0.24305555555555555,-0.0092592592592593,0.2068542353986509,noalign
3,0.4583333333333333,0.2777777777777778,0.4414147144251721,noalign
4,0.3368055555555556,0.1157407407407407,0.258372465712582,noalign
5,0.2777777777777778,0.03703703703703709,0.1677613194663305,noalign
6,0.2465277777777778,-0.004629629629629539,0.18136218988209424,noalign
7,0.3611111111111111,0.14814814814814814,0.3110040312421265,noalign
8,0.5243055555555556,0.3657407407407407,0.49254290004850365,noalign
9,0.4652777777777778,0.2870370370370371,0.4656545218337196,noalign
