stage,candidate,accuracy_mean,accuracy_std,delta_vs_ra,wins,losses,draws,p_value,effect_size,delta_ci_low,delta_ci_high,elapsed_sec,overrides_json
weight_scale_scan,adaptive/scale=1.00,0.41782407407407407,0.13208143473340442,-0.009645061728395073,2,4,3,0.17295491798842066,-0.42637042508054257,-0.024305555555555566,0.0030864197530864244,54.99932420626283,"{""conditional"": {""bias"": 1.0, ""weights"": [1.2, 0.6, 0.3]}}"
weight_scale_scan,adaptive/scale=1.25,0.4170524691358024,0.13047939891999813,-0.010416666666666678,2,5,2,0.2710412796103431,-0.44353276257274393,-0.02584876543209878,0.0030864197530864087,54.792769599705935,"{""conditional"": {""bias"": 1.0, ""weights"": [1.5, 0.75, 0.375]}}"
weight_scale_scan,adaptive/scale=1.50,0.415895061728395,0.1286571700116424,-0.01157407407407409,2,5,2,0.3104944343172349,-0.4199605255658083,-0.02932098765432102,0.004243827160493818,54.73814587946981,"{""conditional"": {""bias"": 1.0, ""weights"": [1.7999999999999998, 0.8999999999999999, 0.44999999999999996]}}"
