target_subject,method,accuracy,kappa,f1_macro,w_mean,w_std,inference_sec
1,adaptive/temp=1.00_ema=0.00,0.5555555555555556,0.40740740740740744,0.5201837297306554,0.6244699183667742,0.21592496044502002,0.37067135889083147
2,adaptive/temp=1.00_ema=0.00,0.2361111111111111,-0.0185185185185186,0.21298385610072468,0.7341294820691977,0.18465506496566383,0.36572912987321615
3,adaptive/temp=1.00_ema=0.00,0.6076388888888888,0.47685185185185186,0.6125112750641714,0.6094101319472817,0.19123723550949845,0.36172959115356207
4,adaptive/temp=1.00_ema=0.00,0.3784722222222222,0.17129629629629628,0.32270397743849066,0.49989544998506324,0.17013719540290437,0.3652182789519429
5,adaptive/temp=1.00_ema=0.00,0.3298611111111111,0.10648148148148151,0.3250811876926125,0.9986333059449836,0.008491510902315952,0.36322510056197643
6,adaptive/temp=1.00_ema=0.00,0.2986111111111111,0.06481481481481477,0.29683286575978446,0.7633874491471092,0.1644734243588692,0.36414984334260225
7,adaptive/temp=1.00_ema=0.00,0.3854166666666667,0.18055555555555558,0.36241791328062894,0.4168952936308021,0.14986953724655452,0.36112459655851126
8,adaptive/temp=1.00_ema=0.00,0.5625,0.41666666666666663,0.5116391070468908,0.8325799933997394,0.13007723467897037,0.36164089292287827
9,adaptive/temp=1.00_ema=0.00,0.4201388888888889,0.22685185185185186,0.4262923548756605,0.9866465086903864,0.05780818431894636,0.3626851746812463
