target_subject,method,accuracy,kappa,f1_macro,w_mean,w_std,inference_sec
1,adaptive/scale=1.00,0.5416666666666666,0.38888888888888884,0.5087460133725294,0.6237066397585591,0.12281193941621558,0.3608155380934477
2,adaptive/scale=1.00,0.22916666666666666,-0.02777777777777768,0.2081204392206581,0.7364135068264118,0.15873838939598958,0.36279404535889626
3,adaptive/scale=1.00,0.6215277777777778,0.49537037037037035,0.6226274908473224,0.6054057160366395,0.0970849913488258,0.36412252858281136
4,adaptive/scale=1.00,0.3611111111111111,0.14814814814814814,0.29554976980885206,0.49561996323241025,0.07810059571855862,0.38398130517452955
5,adaptive/scale=1.00,0.3298611111111111,0.10648148148148151,0.32510302300358784,0.9981370633113789,0.010072261300434033,0.37129729613661766
6,adaptive/scale=1.00,0.3020833333333333,0.06944444444444442,0.3000712772890192,0.7562416072586663,0.12257159853517073,0.36449691746383905
7,adaptive/scale=1.00,0.3888888888888889,0.18518518518518523,0.3615326661684091,0.41433652710473534,0.06981319879534043,0.3643238516524434
8,adaptive/scale=1.00,0.5659722222222222,0.4212962962962963,0.5110160641019539,0.8242045509924825,0.11071395851921122,0.36043769493699074
9,adaptive/scale=1.00,0.4201388888888889,0.22685185185185186,0.4262923548756605,0.9773041286155597,0.08147812198170638,0.36451893765479326
