method,rbid_pos,rbid_neg
Koopman-noalign,0.1706349206349206,0.1706349206349206
Static Koopman aligner,0.15674603174603174,0.15674603174603174
No Alignment,0.15079365079365079,0.15079365079365079
EA,0.14087301587301587,0.14087301587301587
RA,0.14087301587301587,0.14087301587301587
