method,method_key,accuracy_mean,accuracy_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std,koopman_pca_rank,lifting
No Alignment,noalign,0.3804012345679012,0.1179420296560833,0.17386831275720166,0.15725603954144438,0.3315192191217418,0.13633194434940551,,
EA,ea,0.43094135802469136,0.14181429157743736,0.24125514403292175,0.1890857221032498,0.4238722508297883,0.14077491945693357,,
RA,ra,0.4375,0.14078565925495343,0.25000000000000006,0.18771421233993787,0.42378360966776246,0.14424293116260614,,
Koopman-noalign,koopman-noalign,0.39429012345679015,0.13074093746706425,0.19238683127572018,0.17432124995608567,0.35146339508422847,0.1362958376975565,48.0,quadratic
Static Koopman aligner,static-koopman-aligner,0.38348765432098764,0.13675786048959937,0.17798353909465023,0.1823438139861325,0.336462616292801,0.1464287337936078,48.0,quadratic
