target_subject,accuracy_current,kappa_current,f1_macro_current,w_mean,w_std_current,accuracy_exp_a,kappa_exp_a,f1_macro_exp_a,w_std_exp_a,accuracy_delta_exp_a,kappa_delta_exp_a,f1_macro_delta_exp_a,w_std_delta_exp_a
1,0.5138888888888888,0.35185185185185186,0.46663063713633096,0.3415587736388548,0.08380258175436653,0.5381944444444444,0.3842592592592593,0.5073483628556092,0.0053128476496673,-0.02430555555555558,-0.03240740740740744,-0.040717725719278286,0.07848973410469923
2,0.19791666666666666,-0.06944444444444442,0.18606216864061093,0.7711360247538219,0.10609036502873566,0.2013888888888889,-0.0648148148148148,0.183603786455257,0.0059558661941096,-0.0034722222222222376,-0.0046296296296296224,0.0024583821853539356,0.10013449883462607
3,0.625,0.5,0.6249543762318417,0.7125165423362858,0.10472949485331255,0.5798611111111112,0.4398148148148147,0.5763412122135007,0.0065361705671028,0.04513888888888884,0.060185185185185286,0.04861316401834104,0.09819332428620975
4,0.3715277777777778,0.1620370370370371,0.32135544120626913,0.36748402219802884,0.09200949137229292,0.4027777777777778,0.2037037037037037,0.3728945723392268,0.0061514758382714,-0.03125,-0.0416666666666666,-0.05153913113295766,0.08585801553402152
5,0.3055555555555556,0.07407407407407407,0.2460604402860521,0.5896320066832167,0.0615080079719959,0.3229166666666667,0.0972222222222222,0.256264272777384,0.0031484785654523,-0.017361111111111105,-0.023148148148148126,-0.010203832491331916,0.0583595294065436
6,0.25,0.0,0.20969646447128337,0.40803558621084196,0.09966677960092526,0.2743055555555556,0.0324074074074074,0.2508799040439161,0.0061835364056608,-0.02430555555555558,-0.0324074074074074,-0.04118343957263271,0.09348324319526446
7,0.3576388888888889,0.1435185185185185,0.31676028987145777,0.31732137621330797,0.08780839052235453,0.3715277777777778,0.1620370370370371,0.3443714873859972,0.004699402289949,-0.013888888888888895,-0.0185185185185186,-0.027611197514539443,0.08310898823240553
8,0.5416666666666666,0.38888888888888884,0.515515192149453,0.48402188120892753,0.0913755126593008,0.5486111111111112,0.3981481481481481,0.521543548914644,0.0053054856865982,-0.006944444444444531,-0.009259259259259245,-0.00602835676519109,0.0860700269727026
9,0.5034722222222222,0.3379629629629629,0.5124540064077969,0.8800362384664093,0.06608490830284776,0.4930555555555556,0.324074074074074,0.4988467319753279,0.0070511790210478,0.01041666666666663,0.013888888888888895,0.013607274432469008,0.05903372928179996
