target_subject,accuracy_current,kappa_current,f1_macro_current,w_mean,w_std_current,accuracy_exp_b,kappa_exp_b,f1_macro_exp_b,w_std_exp_b,accuracy_delta_exp_b,kappa_delta_exp_b,f1_macro_delta_exp_b,w_std_delta_exp_b
1,0.5138888888888888,0.35185185185185186,0.46663063713633096,0.3415587736388548,0.08380258175436653,0.5416666666666666,0.3888888888888888,0.510784434166399,0.0048078491767949,-0.02777777777777779,-0.037037037037036924,-0.044153797030068,0.07899473257757163
2,0.19791666666666666,-0.06944444444444442,0.18606216864061093,0.7711360247538219,0.10609036502873566,0.1944444444444444,-0.0740740740740741,0.1804199883903311,0.0095827708134627,0.0034722222222222654,0.004629629629629678,0.005642180250279821,0.09650759421527295
3,0.625,0.5,0.6249543762318417,0.7125165423362858,0.10472949485331255,0.5972222222222222,0.4629629629629629,0.5965150399055174,0.0064891058841702,0.02777777777777779,0.03703703703703709,0.028439336326324338,0.09824038896914235
4,0.3715277777777778,0.1620370370370371,0.32135544120626913,0.36748402219802884,0.09200949137229292,0.4097222222222222,0.2129629629629629,0.382785040884366,0.0048902917158835,-0.03819444444444442,-0.05092592592592582,-0.06142959967809686,0.08711919965640942
5,0.3055555555555556,0.07407407407407407,0.2460604402860521,0.5896320066832167,0.0615080079719959,0.3020833333333333,0.0694444444444444,0.2399904608742891,0.0039399764917896,0.0034722222222222654,0.004629629629629664,0.006069979411762988,0.0575680314802063
6,0.25,0.0,0.20969646447128337,0.40803558621084196,0.09966677960092526,0.2743055555555556,0.0324074074074074,0.2510772668539658,0.0057324242507397,-0.02430555555555558,-0.0324074074074074,-0.041380802382682436,0.09393435535018557
7,0.3576388888888889,0.1435185185185185,0.31676028987145777,0.31732137621330797,0.08780839052235453,0.3715277777777778,0.1620370370370371,0.3490112770143045,0.0050867507413329,-0.013888888888888895,-0.0185185185185186,-0.03225098714284674,0.08272163978102164
8,0.5416666666666666,0.38888888888888884,0.515515192149453,0.48402188120892753,0.0913755126593008,0.5451388888888888,0.3935185185185185,0.5194792324885704,0.004347783268063,-0.00347222222222221,-0.00462962962962965,-0.003964040339117458,0.0870277293912378
9,0.5034722222222222,0.3379629629629629,0.5124540064077969,0.8800362384664093,0.06608490830284776,0.4861111111111111,0.3148148148148147,0.4912556717301242,0.0064387988060141,0.017361111111111105,0.023148148148148195,0.021198334677672737,0.05964610949683366
