target_subject,accuracy,kappa,f1_macro,w_mean,w_std
1,0.5138888888888888,0.35185185185185186,0.46663063713633096,0.3415587736388548,0.08380258175436653
2,0.19791666666666666,-0.06944444444444442,0.18606216864061093,0.7711360247538219,0.10609036502873566
3,0.625,0.5,0.6249543762318417,0.7125165423362858,0.10472949485331255
4,0.3715277777777778,0.1620370370370371,0.32135544120626913,0.36748402219802884,0.09200949137229292
5,0.3055555555555556,0.07407407407407407,0.2460604402860521,0.5896320066832167,0.0615080079719959
6,0.25,0.0,0.20969646447128337,0.40803558621084196,0.09966677960092526
7,0.3576388888888889,0.1435185185185185,0.31676028987145777,0.31732137621330797,0.08780839052235453
8,0.5416666666666666,0.38888888888888884,0.515515192149453,0.48402188120892753,0.0913755126593008
9,0.5034722222222222,0.3379629629629629,0.5124540064077969,0.8800362384664093,0.06608490830284776
