method,method_key,pearson_r,rbid,rbid_pos,rbid_neg,tail_rbid
EA,ea,0.5764939151313928,0.2817460317460317,0.1408730158730158,0.1408730158730158,0.5999999999999999
RA,ra,0.6128547162899771,0.2817460317460317,0.1408730158730158,0.1408730158730158,0.6240601503759399
Conservative Koopman aligner-r48,conservative-koopman-aligner-r48,0.2505552458334039,0.3055555555555556,0.1527777777777778,0.1527777777777778,0.5502645502645502
Static Koopman aligner-r48,static-koopman-aligner-r48,0.4840564679661936,0.3134920634920635,0.1567460317460317,0.1567460317460317,0.6357142857142856
Koopman-noalign-r48,koopman-noalign-r48,0.2000113173001142,0.3412698412698412,0.1706349206349206,0.1706349206349206,0.6666666666666666
