target_subject,accuracy_candidate,accuracy_reference,delta
1,0.5381944444444444,0.5520833333333334,-0.01388888888888895
2,0.22916666666666666,0.21875,0.010416666666666657
3,0.6215277777777778,0.6527777777777778,-0.03125
4,0.3680555555555556,0.3854166666666667,-0.017361111111111105
5,0.3298611111111111,0.3298611111111111,0.0
6,0.3402777777777778,0.3541666666666667,-0.013888888888888895
7,0.375,0.3888888888888889,-0.013888888888888895
8,0.5694444444444444,0.5451388888888888,0.02430555555555558
9,0.4201388888888889,0.4201388888888889,0.0
