method,accuracy_mean,accuracy_std,kappa_mean,kappa_std,rbid,rbid_pos,rbid_neg,tail_rbid,pearson_r
No Alignment,0.3804012345679012,0.1179420296560833,0.17386831275720166,0.15725603954144438,0.3015873015873015,0.1507936507936507,0.1507936507936507,0.5879120879120878,0.4669132376017698
EA,0.43094135802469136,0.14181429157743736,0.24125514403292175,0.1890857221032498,0.2817460317460317,0.1408730158730158,0.1408730158730158,0.5999999999999999,0.5764939151313928
RA,0.4375,0.14078565925495343,0.25000000000000006,0.18771421233993787,0.2817460317460317,0.1408730158730158,0.1408730158730158,0.6240601503759399,0.6128547162899771
Koopman-noalign-r48,0.3942901234567901,0.1307409374670642,0.1923868312757201,0.1743212499560856,0.3412698412698412,0.1706349206349206,0.1706349206349206,0.6666666666666666,0.2000113173001142
Static Koopman aligner-r48,0.3834876543209876,0.1367578604895993,0.1779835390946502,0.1823438139861325,0.3134920634920635,0.1567460317460317,0.1567460317460317,0.6357142857142856,0.4840564679661936
