window_size,w,count,ratio
16,0.0,55,0.3395061728395062
16,0.25,25,0.15432098765432098
16,0.5,26,0.16049382716049382
16,0.75,34,0.20987654320987653
16,1.0,22,0.13580246913580246
32,0.0,25,0.30864197530864196
32,0.25,11,0.13580246913580246
32,0.5,8,0.09876543209876543
32,0.75,14,0.1728395061728395
32,1.0,23,0.2839506172839506
48,0.0,15,0.2777777777777778
48,0.25,5,0.09259259259259259
48,0.5,4,0.07407407407407407
48,0.75,12,0.2222222222222222
48,1.0,18,0.3333333333333333
