window_size,oracle_accuracy_mean,best_fixed_w,best_fixed_accuracy_mean,mean_delta_vs_best_fixed,wins_vs_best_fixed,losses_vs_best_fixed,draws_vs_best_fixed,most_common_ratio,subjects_with_multiple_actions,passed
16,0.45023148148148145,1.0,0.40933641975308643,0.040895061728395056,9,0,0,0.3395061728395062,9,True
32,0.43711419753086417,1.0,0.40933641975308643,0.027777777777777773,7,0,2,0.30864197530864196,9,True
48,0.43171296296296297,1.0,0.40933641975308643,0.02237654320987653,7,0,2,0.3333333333333333,9,True
